,social,economic,technical
0,589.3434441589992,17255.37548952292,245.18508252196625
1,591.1150743393957,17254.259776784133,241.19315773196544
2,596.694214172814,17251.250126871648,237.20123294196492
3,606.408237680267,17249.42770526829,233.20930815196562
4,614.3482618425251,17246.972820651223,229.2173833619632
5,622.2315664544547,17247.488254152162,225.22545857196317
6,632.3293322725401,17245.216747514514,221.23353378196177
7,643.463404147455,17242.87995052673,217.2416089919609
8,655.445290185124,17240.22855313153,213.2496842019582
9,668.5643499729259,17237.979473556174,209.257759411958
10,681.5510922207973,17236.016721551427,205.26583462195745
11,696.7008440479374,17235.13938743963,201.27390983195673
12,714.5917368850822,17232.22603531749,197.28198504195356
13,1375.8780749716425,17216.682200504463,165.3465867219509
14,602.8557360473748,15756.049444688095,245.18508252196645
15,605.4518699598021,15754.521914100438,241.1931577319656
16,606.4884552214778,15752.062160748395,237.20123294196523
17,612.4973717474052,15749.195596023763,233.20930815196388
18,620.3346236499249,15750.331534447292,229.2173833619632
19,626.1666889396755,15747.269378926125,225.2254585719629
20,635.9758915454092,15744.979665160818,221.23353378196072
21,647.1700547119246,15742.617447091807,217.24160899196139
22,659.0036092305176,15739.9684772799,213.24968420196055
23,671.418457616669,15737.643268729178,209.2577594119591
24,684.561027717029,15735.818172525409,205.26583462195885
25,699.3228835375706,15734.866882574348,201.27390983195698
26,602.8557360473748,15756.95961275861,245.18508252196432
27,605.8809907748221,15753.762142250082,241.19315773196416
28,620.8082025908066,15748.923528235988,229.21738336196324
29,626.3129520317619,15747.484002482084,225.22545857196152
30,647.1744061396614,15743.37481287295,217.24160899195846
31,658.7494426965865,15739.83002025001,213.2496842019591
32,684.9035085910072,15735.64939111038,205.2658358831202
33,717.2399311703437,15732.037442656534,197.28198504195723
34,649.0384912540339,4256.469160407891,245.18508252196244
35,650.2567481472786,4253.722311707569,241.19315773196203
36,652.7943971339138,4251.174916083023,237.20123294196296
37,656.1544329882913,4250.173285746707,233.20930815195752
38,662.621149007801,4247.919420468766,229.21738336195375
39,667.677050040397,4246.152475062271,225.22545857196044
40,678.1352634922814,4243.789504547262,221.2335337819554
41,689.0539085651026,4243.041588102504,217.24160899195246
42,701.0817407902933,4240.3494387590035,213.24968420195754
43,712.5810645718693,4236.689656142107,209.25775941195306
44,725.1277815245926,4234.541894967499,205.265834621957
45,739.5407658772891,4233.837136715315,201.27390983195872
46,759.0007663465499,4232.70941947878,197.28198504195845
47,661.9604012076542,4248.591296652915,229.2173833619537
48,678.1390108312472,4244.18750935527,221.2335337819587
49,725.097968774468,4234.577695899275,205.265834621949
50,700.8961958823214,4240.257880754485,213.24968420194116
51,649.2862039944924,4255.910633365747,245.18508252196312
52,653.4558239356497,4252.953425568059,237.20123294196344
53,661.1874178068335,4248.135052820489,229.21738336196034
54,668.0017092220047,4246.528269834294,225.2254585719604
55,661.1630594078865,4249.402067367221,229.21738336196188
56,701.0975967950008,4240.52465043083,213.24968420197854
57,651.6195709722904,4257.328832556123,245.1850825219629
58,668.57733426834,4245.787062656068,225.22545857195897
59,678.5431086747193,4245.513536895592,221.2335337819613
60,712.581064192734,4236.689656142107,209.25775941195405
61,847.7353769694831,4215.106649625593,245.18508252196574
62,847.7353769695172,4215.106649625591,241.19315773195174
63,848.1805885045428,4215.106649625592,237.20123294195938
64,848.1805885045248,4215.106649625593,233.20930815196095
65,847.7353769695603,4215.106649625588,229.21738336195423
66,846.7482235502806,4215.106649625593,225.22545857195885
67,847.7353769695226,4215.106649625591,221.23353378196202
68,850.7472672873076,4215.106649625591,217.24160899195337
69,850.747267287282,4215.106649625591,213.249684201951
70,848.1805885045753,4215.10664962559,209.2577594119556
71,848.1805885045826,4215.10664962559,205.26583462195055
72,847.7353769695111,4215.106649625591,201.2739098319566
73,848.562891295858,4215.10664962559,197.2819850419459
74,852.7295750967314,4215.106649625597,193.29006025195628
75,865.3362057521482,4215.106649625579,189.298135461953
76,882.5697326801359,4215.106649625583,185.30621067195142
