,version,social,economic,technical
0,augmecon_social_eps316,506.3853512062307,5195.130683539941,382.87293542008985
1,augmecon_social_eps317,504.78853823872083,5194.155865181463,371.3208374352684
2,augmecon_social_eps318,496.7247742998097,5195.79232999849,359.7687394504489
3,augmecon_social_eps319,507.93264272291447,5189.649647761633,348.2166414656291
4,augmecon_social_eps320,495.38697163318284,5194.3046282778805,336.664543480809
5,augmecon_social_eps321,495.5270973132009,5195.0439691101155,325.112445495988
6,augmecon_social_eps322,494.87971199843713,5195.339656229963,313.5603475111678
7,augmecon_social_eps323,502.46570043907394,5192.536956076385,302.0082495263477
8,augmecon_social_eps330,544.2209341427131,4047.7400719749926,221.1435636326041
9,augmecon_social_eps331,553.649003721418,4040.4344665955823,209.59146564778507
10,augmecon_social_eps332,582.8219732962143,4034.442179259364,198.0393676629647
11,augmecon_social_eps333,619.6135601323736,4030.2410362241644,186.4872696781429
12,augmecon_social_eps334,698.678685814342,4018.1278423348217,174.93517169332392
13,augmecon_social_eps336,513.3016426474563,5185.011847700629,394.42503340490987
14,augmecon_social_eps337,516.1311146990198,5185.01184770063,382.87293542008973
15,augmecon_social_eps338,524.4987775156261,5185.011847700629,371.32083743526914
16,augmecon_social_eps339,513.3016426474568,5185.01184770063,359.7687394504489
17,augmecon_social_eps340,515.460874087667,5185.011847700629,348.2166414656294
18,augmecon_social_eps341,514.4761344482356,5185.011847700629,336.66454348080856
19,augmecon_social_eps342,513.3016426474564,5185.01184770063,325.11244549598763
20,augmecon_social_eps343,519.9926399115905,5185.011847700629,313.5603475111671
21,augmecon_social_eps351,547.8255410995055,4042.3861036666744,221.1435636326052
22,augmecon_social_eps352,559.7336909520353,4038.8531278298306,209.59146564778487
23,augmecon_social_eps353,580.9326698907923,4034.881822380397,198.03936766296434
24,augmecon_social_eps354,618.659134411107,4030.5481321551056,186.48726967814426
25,augmecon_social_eps355,698.1563874019009,4018.21857390793,174.93517169332412
26,augmecon_social_eps357,544.1080397645577,4047.038652468476,394.42503340491027
27,augmecon_social_eps358,546.2631528848079,4047.178344961792,382.8729354200901
28,augmecon_social_eps359,542.9680397645575,4048.39848023661,371.3208374352696
29,augmecon_social_eps360,553.2280397645573,4049.945999699956,359.76873945044895
30,augmecon_social_eps361,542.9680397645577,4047.769605626116,348.21664146562983
31,augmecon_social_eps362,550.9480397645577,4049.0387996999557,336.6645434808084
32,augmecon_social_eps363,545.2480397645578,4047.224399699956,325.1124454959883
33,augmecon_social_eps364,542.9680397645576,4047.7107704964506,313.56034751116863
34,augmecon_social_eps365,549.7055497187367,4046.435577547345,302.0082495263477
35,augmecon_social_eps366,553.103152884808,4048.9846776164486,290.45615154152756
36,augmecon_social_eps367,546.3880397645577,4049.0540229534486,278.90405355670737
37,augmecon_social_eps368,542.9680397645576,4048.172652468476,267.35195557188695
38,augmecon_social_eps369,542.9680397645577,4048.841309530101,255.79985758706655
39,augmecon_social_eps370,548.9155934326428,4044.233051367114,244.2477596022436
40,augmecon_social_eps371,554.103923134037,4040.0348483327193,232.69566161742594
41,augmecon_social_eps372,553.1334939700433,4040.4191370449453,221.14356363260518
