,economic,technical
0,17255.375489522918,193.2900602519561
1,17255.375489522918,189.29813546195533
2,17255.375489522918,185.30621067195452
3,17255.375489522918,181.31428588195374
4,17255.375489522918,177.32236109195293
5,17255.375489522918,173.33043630195215
6,17255.375489522918,169.33851151195137
7,16603.36204752805,197.2819850419569
8,16603.36204752805,193.2900602519561
9,16603.36204752805,189.29813546195533
10,16603.36204752805,185.30621067195452
11,16603.36204752805,181.31428588195374
12,16603.36204752805,177.32236109195293
13,16603.36204752805,173.33043630195215
14,16603.36204752805,169.33851151195137
15,16603.36204752805,165.34658672195056
16,15951.348605533185,193.2900602519561
17,15951.348605533185,189.29813546195533
18,15951.348605533185,185.30621067195452
19,15951.348605533185,181.31428588195374
20,15951.348605533185,177.32236109195293
21,15951.348605533185,173.33043630195215
22,15951.348605533185,169.33851151195137
23,15951.348605533185,165.34658672195056
24,15299.335163538319,193.2900602519561
25,15299.335163538319,189.29813546195533
26,15299.335163538319,185.30621067195452
27,15299.335163538319,181.31428588195374
28,15299.335163538319,177.32236109195293
29,15299.335163538319,173.33043630195215
30,15299.335163538319,169.33851151195137
31,15299.335163538319,165.34658672195056
32,14647.321721543452,193.2900602519561
33,14647.321721543452,189.29813546195533
34,14647.321721543452,185.30621067195452
35,14647.321721543452,181.31428588195374
36,14647.321721543452,177.32236109195293
37,14647.321721543452,173.33043630195215
38,14647.321721543452,169.33851151195137
39,14647.321721543452,165.34658672195056
40,13995.308279548586,197.2819850419569
41,13995.308279548586,193.2900602519561
42,13995.308279548586,189.29813546195533
43,13995.308279548586,185.30621067195452
44,13995.308279548586,181.31428588195374
45,13995.308279548586,177.32236109195293
46,13995.308279548586,173.33043630195215
47,13995.308279548586,169.33851151195137
48,13995.308279548586,165.34658672195056
49,13343.294837553718,193.2900602519561
50,13343.294837553718,189.29813546195533
51,13343.294837553718,185.30621067195452
52,13343.294837553718,181.31428588195374
53,13343.294837553718,177.32236109195293
54,13343.294837553718,173.33043630195215
55,13343.294837553718,169.33851151195137
56,13343.294837553718,165.34658672195056
57,12691.281395558852,197.2819850419569
58,12691.281395558852,193.2900602519561
59,12691.281395558852,189.29813546195533
60,12691.281395558852,185.30621067195452
61,12691.281395558852,181.31428588195374
62,12691.281395558852,177.32236109195293
63,12691.281395558852,173.33043630195215
64,12691.281395558852,169.33851151195137
65,12691.281395558852,165.34658672195056
66,12039.267953563985,205.2658346219585
67,12039.267953563985,193.2900602519561
68,12039.267953563985,189.29813546195533
69,12039.267953563985,185.30621067195452
70,12039.267953563985,181.31428588195374
71,12039.267953563985,177.32236109195293
72,12039.267953563985,173.33043630195215
73,12039.267953563985,169.33851151195137
74,12039.267953563985,165.34658672195056
75,11387.25451156912,193.2900602519561
76,11387.25451156912,189.29813546195533
77,11387.25451156912,185.30621067195452
78,11387.25451156912,181.31428588195374
79,11387.25451156912,177.32236109195293
80,11387.25451156912,173.33043630195215
81,11387.25451156912,169.33851151195137
82,11387.25451156912,165.34658672195056
83,10735.241069574253,205.2658346219585
84,10735.241069574253,197.2819850419569
