,economic,technical
0,16593.374277535717,163.3830737085036
1,15931.360191856238,163.3830737085036
2,15269.346106176758,163.3830737085036
3,14607.332020497277,163.3830737085036
4,13945.317934817796,163.3830737085036
5,13283.303849138316,163.3830737085036
6,12621.289763458835,163.3830737085036
7,11959.275677779355,163.3830737085036
8,11297.261592099874,163.3830737085036
9,10635.247506420394,163.3830737085036
10,9973.233420740913,163.3830737085036
11,9311.219335061433,163.3830737085036
12,8649.205249381952,163.3830737085036
13,7987.191163702471,163.3830737085036
14,7325.177078022991,163.3830737085036
15,6663.16299234351,163.3830737085036
16,6001.14890666403,163.3830737085036
17,5339.134820984549,163.3830737085036
18,4677.120735305069,163.3830737085036
19,4015.106649625588,222.89165444503868
20,4015.106649625588,219.91622540821191
21,4015.106649625588,216.94079637138518
22,4015.106649625588,213.9653673345584
23,4015.106649625588,210.98993829773167
24,4015.106649625588,208.0145092609049
25,4015.106649625588,205.03908022407816
26,4015.106649625588,202.0636511872514
27,4015.106649625588,199.08822215042466
28,4015.106649625588,196.1127931135979
29,4015.106649625588,193.13736407677112
30,4015.106649625588,190.16193503994438
31,4015.106649625588,187.18650600311764
32,4015.106649625588,184.21107696629088
33,4015.106649625588,181.2356479294641
34,4015.106649625588,178.26021889263737
35,4015.106649625588,175.2847898558106
36,4015.106649625588,172.30936081898386
37,4015.106649625588,169.3339317821571
38,4015.106649625588,166.35850274533033
39,4015.106649625588,163.3830737085036
