,version,technical,economic
0,augmecon_social_eps407,169.33851151195137,12039.267953563985
1,augmecon_social_eps408,169.33851151195137,11387.25451156912
2,augmecon_social_eps409,169.33851151195137,10735.241069574253
3,augmecon_social_eps410,169.33851151195137,10083.227627579385
4,augmecon_social_eps411,169.33851151195137,9431.214185584518
5,augmecon_social_eps412,169.33851151195137,8779.200743589652
6,augmecon_social_eps416,169.33851151195137,6171.146975610187
7,augmecon_social_eps419,169.33851151195137,4215.106649625588
8,augmecon_social_eps421,165.34658672195056,16603.36204752805
9,augmecon_social_eps422,165.34658672195056,15951.348605533185
10,augmecon_social_eps423,165.34658672195056,15299.335163538319
11,augmecon_social_eps424,165.34658672195056,14647.321721543452
12,augmecon_social_eps425,165.34658672195056,13995.308279548586
13,augmecon_social_eps426,165.34658672195056,13343.294837553718
14,augmecon_social_eps427,165.34658672195056,12691.281395558852
15,augmecon_social_eps428,165.34658672195056,12039.267953563985
16,augmecon_social_eps429,165.34658672195056,11387.25451156912
17,augmecon_social_eps430,165.34658672195056,10735.241069574253
18,augmecon_social_eps431,165.34658672195056,10083.227627579385
19,augmecon_social_eps432,165.34658672195056,9431.214185584518
20,augmecon_social_eps433,165.34658672195056,8779.200743589652
21,augmecon_social_eps434,165.34658672195056,8127.187301594786
22,augmecon_social_eps435,165.34658672195056,7475.1738595999195
23,augmecon_social_eps436,165.34658672195056,6823.160417605053
24,augmecon_social_eps437,165.34658672195056,6171.146975610187
25,augmecon_social_eps438,165.34658672195056,5519.133533615321
26,augmecon_social_eps439,165.34658672195056,4867.120091620454
27,augmecon_social_eps440,165.34658672195056,4215.106649625588
