,version,social,economic,technical
0,augmecon_social_eps0,495.35196358068447,17255.3883632152,222.89165444504604
1,augmecon_social_eps1,496.25244285892205,17255.3883632152,219.9162254082192
2,augmecon_social_eps2,497.66943424396106,17255.3883632152,216.94079637139208
3,augmecon_social_eps3,502.2651137984338,17252.77159243954,213.9653673345652
4,augmecon_social_eps4,508.9257471674444,17251.198236327793,210.98993829773812
5,augmecon_social_eps5,515.5895723682526,17249.602365634713,208.014509260911
6,augmecon_social_eps6,522.732826173577,17247.748732261814,205.03908022408396
7,augmecon_social_eps7,530.4826557897853,17246.03988087796,202.06365118725648
8,augmecon_social_eps8,538.447165101571,17245.686273741092,199.08822215042952
9,augmecon_social_eps9,546.8158074743076,17244.696463846358,196.11279311360238
10,augmecon_social_eps10,556.1065929658387,17242.625242898786,193.13736407677527
11,augmecon_social_eps11,565.9357193001198,17242.625242898786,190.16193503994825
12,augmecon_social_eps12,577.1559276923871,17242.625242898786,187.186506003121
13,augmecon_social_eps13,590.5322215843885,17240.75908517488,184.21107696629386
14,augmecon_social_eps14,605.5622201828618,17237.350710413375,181.23564792946667
15,augmecon_social_eps15,622.0851164339703,17233.844878122985,178.2602188926396
16,augmecon_social_eps16,641.9777619878882,17230.392870638338,175.28478985581256
17,augmecon_social_eps17,663.8560783091506,17228.095644594323,172.30936081898543
18,augmecon_social_eps18,686.5314646532516,17224.365012349368,169.3339317821584
19,augmecon_social_eps19,721.2459130342284,17220.20707475053,166.35850274533107
20,augmecon_social_eps20,1161.2607137399527,17217.448434447677,163.38307370850364
21,augmecon_social_eps21,509.04549317860966,15759.516691314553,222.89165444504624
22,augmecon_social_eps22,509.04549317860966,15759.568079652749,219.91622540821908
23,augmecon_social_eps23,509.04549317860966,15759.4108386842,216.940796371392
24,augmecon_social_eps24,509.9304049484673,15757.255883406804,213.9653673345649
25,augmecon_social_eps25,512.7526882110055,15753.615413379192,210.98993829773767
26,augmecon_social_eps26,517.8148192414147,15750.824677901006,208.0145092609108
27,augmecon_social_eps27,524.4234582473562,15749.242431590368,205.0390802240835
28,augmecon_social_eps28,531.5261118250373,15747.54190786545,202.06365118725634
29,augmecon_social_eps29,539.3420338984506,15745.855627781228,199.08822215042923
30,augmecon_social_eps30,547.42136371556,15745.329952338243,196.1127931136024
31,augmecon_social_eps31,556.5116345379885,15743.247888793376,193.13736407677516
32,augmecon_social_eps32,566.2156311097402,15742.574276411477,190.161935039948
33,augmecon_social_eps33,577.4700360968208,15742.574276411477,187.18650600312097
34,augmecon_social_eps34,590.9225828566429,15740.615045943843,184.21107696629383
35,augmecon_social_eps35,605.9807479354744,15737.21647893107,181.2356479294668
36,augmecon_social_eps36,622.5960843516397,15733.690258325596,178.2602188926397
37,augmecon_social_eps37,642.5519297716305,15730.337965214145,175.2847898558127
38,augmecon_social_eps38,664.4668431198656,15727.9434197305,172.3093608189854
39,augmecon_social_eps39,687.1597895195125,15724.214042999132,169.3339317821584
40,augmecon_social_eps40,724.6012768589546,15719.863904242284,166.35850274533124
41,augmecon_social_eps42,509.04549317860966,15759.17134625569,222.8916544450462
42,augmecon_social_eps43,509.04549317860966,15759.416620267813,219.9162254082191
43,augmecon_social_eps44,509.04549317860966,15759.413046438616,216.9407963713918
44,augmecon_social_eps63,542.9680397645577,4256.52318277353,222.89165444504667
45,augmecon_social_eps64,542.9680397645577,4256.602085961065,219.91622540821956
46,augmecon_social_eps65,542.9680397645577,4257.131928285061,216.94079637139228
47,augmecon_social_eps66,542.9680397645577,4258.305396785093,213.96536733456523
48,augmecon_social_eps67,544.0608299123985,4256.188643052222,210.98993829773815
49,augmecon_social_eps68,546.3966175294344,4252.126380447981,208.0145092609108
50,augmecon_social_eps69,550.7584666040154,4249.144421617314,205.03908022408376
51,augmecon_social_eps70,557.4701950738548,4247.518862484024,202.06365118725677
52,augmecon_social_eps71,565.0451690731451,4246.170586159691,199.08822215042974
53,augmecon_social_eps72,573.2240728228521,4244.700718345661,196.1127931136029
54,augmecon_social_eps73,582.1253995408647,4242.724206173578,193.1373640767755
55,augmecon_social_eps74,592.229067938438,4242.040996860189,190.16193503994833
56,augmecon_social_eps75,604.5923204513037,4241.465571666503,187.1865060031212
57,augmecon_social_eps76,618.9523512415929,4238.283249209058,184.21107696629238
58,augmecon_social_eps77,634.5817211342985,4235.031094789153,181.23564792946524
59,augmecon_social_eps78,652.8430922140957,4231.14756748918,178.2602188926383
60,augmecon_social_eps79,673.9171683724716,4229.2083621974025,175.2847898558112
61,augmecon_social_eps80,696.3649200366464,4225.486761263605,172.30936081898398
62,augmecon_social_eps81,722.4728054444694,4221.378720844942,169.3339317821585
63,augmecon_social_eps82,792.1245487713745,4217.341264073947,166.35850274533124
64,augmecon_social_eps399,542.9680397645576,4257.187525767428,222.89165444504613
65,augmecon_social_eps400,542.9680397645577,4258.130331186811,219.91622540821902
66,augmecon_social_eps401,542.9680397645577,4258.14101750287,216.94079637139217
