,version,economic,technical
0,augmecon_social_eps41,15052.293326783412,163.38307370850356
1,augmecon_social_eps62,14394.474561511226,163.38307370850356
2,augmecon_social_eps83,13736.65579623904,163.38307370850356
3,augmecon_social_eps104,13078.837030966855,163.38307370850356
4,augmecon_social_eps125,12421.01826569467,163.38307370850356
5,augmecon_social_eps146,11763.199500422485,163.38307370850356
6,augmecon_social_eps167,11105.380735150298,163.38307370850356
7,augmecon_social_eps188,10447.561969878114,163.38307370850356
8,augmecon_social_eps209,9789.74320460593,163.38307370850356
9,augmecon_social_eps230,9131.924439333743,163.38307370850356
10,augmecon_social_eps251,8474.105674061557,163.38307370850356
11,augmecon_social_eps272,7816.286908789372,163.38307370850356
12,augmecon_social_eps293,7158.468143517186,163.38307370850356
13,augmecon_social_eps314,6500.649378245002,163.38307370850356
14,augmecon_social_eps324,5842.830612972817,290.45615154152716
15,augmecon_social_eps325,5842.830612972817,278.90405355670686
16,augmecon_social_eps326,5842.830612972817,267.3519555718865
17,augmecon_social_eps327,5842.830612972817,255.79985758706619
18,augmecon_social_eps328,5842.830612972817,244.24775960224585
19,augmecon_social_eps329,5842.830612972817,232.69566161742554
20,augmecon_social_eps335,5842.830612972817,163.38307370850356
21,augmecon_social_eps344,5185.011847700631,302.0082495263475
22,augmecon_social_eps345,5185.011847700631,290.45615154152716
23,augmecon_social_eps346,5185.011847700631,278.90405355670686
24,augmecon_social_eps347,5185.011847700631,267.3519555718865
25,augmecon_social_eps348,5185.011847700631,255.79985758706619
26,augmecon_social_eps349,5185.011847700631,244.24775960224585
27,augmecon_social_eps350,5185.011847700631,232.69566161742554
28,augmecon_social_eps356,5185.011847700631,163.38307370850356
29,augmecon_social_eps377,4527.1930824284445,163.38307370850356
30,augmecon_social_eps396,3869.37431715626,186.4872696781442
31,augmecon_social_eps397,3869.37431715626,174.9351716933239
32,augmecon_social_eps398,3869.37431715626,163.38307370850356
33,augmecon_social_eps414,3211.5555518840756,221.1435636326052
34,augmecon_social_eps415,3211.5555518840756,209.59146564778487
35,augmecon_social_eps416,3211.5555518840756,198.03936766296454
36,augmecon_social_eps417,3211.5555518840756,186.4872696781442
37,augmecon_social_eps418,3211.5555518840756,174.9351716933239
38,augmecon_social_eps419,3211.5555518840756,163.38307370850356
39,augmecon_social_eps433,2553.7367866118893,244.24775960224585
40,augmecon_social_eps434,2553.7367866118893,232.69566161742554
41,augmecon_social_eps435,2553.7367866118893,221.1435636326052
42,augmecon_social_eps436,2553.7367866118893,209.59146564778487
43,augmecon_social_eps437,2553.7367866118893,198.03936766296454
44,augmecon_social_eps438,2553.7367866118893,186.4872696781442
45,augmecon_social_eps439,2553.7367866118893,174.9351716933239
46,augmecon_social_eps440,2553.7367866118893,163.38307370850356
