,social,economic,technical
0,495.35196358068487,17255.388363215203,222.89165444503928
1,496.2524428589221,17255.388363215203,219.91622540821294
2,497.6694342439594,17255.388363215206,216.94079637138577
3,502.2651137984472,17252.771592439538,213.96536733455898
4,508.9257471674581,17251.19823632779,210.98993829773192
5,515.589572368265,17249.60236563471,208.01450926090544
6,522.73282617359,17247.74873226181,205.03908022407845
7,530.4826557897974,17246.039880877957,202.06365118725188
8,538.4471651015829,17245.686273741092,199.0882221504251
9,546.81580747432,17244.696463846354,196.1127931135983
10,556.106592965851,17242.625242898786,193.1373640767715
11,565.9357193001314,17242.625242898786,190.16193503994478
12,577.1559276923986,17242.625242898786,187.18650600311807
13,590.5322215844005,17240.759085174876,184.21107696629136
14,605.5622201828726,17237.35071041337,181.2356479294647
15,622.0851164339822,17233.844878122985,178.26021889263794
16,641.977761987899,17230.392870638338,175.28478985581103
17,663.8560783091594,17228.095644594323,172.30936081898423
18,686.5314646532597,17224.365012349368,169.3339317821575
19,721.2459130342385,17220.20707475053,166.35850274533058
20,1161.26071373453,17217.448434447677,163.3830737085041
21,509.04549317860966,15758.68435864746,222.89165444503902
22,509.04549317860966,15759.486383434934,219.91622540821228
23,509.04549317860966,15759.348630787297,216.94079637138555
24,509.93040494847037,15757.255883406797,213.96536733455883
25,512.7526882110126,15753.615413379186,210.98993829773204
26,517.8148192414277,15750.824677901002,208.01450926090496
27,524.4234582473674,15749.242431590366,205.03908022407805
28,531.5261118250485,15747.541907865449,202.06365118725165
29,539.3420338984619,15745.855627781228,199.0882221504249
30,547.421363715572,15745.32995233824,196.11279311359797
31,556.511634537999,15743.247888793374,193.1373640767715
32,566.2156311097517,15742.574276411477,190.16193503994467
33,577.4700360968317,15742.574276411477,187.186506003118
34,590.922582856655,15740.615045943841,184.2110769662914
35,605.9807479354846,15737.216478931068,181.23564792946465
36,622.5960843516516,15733.690258325594,178.26021889263774
37,642.5519297716426,15730.337965214145,175.2847898558109
38,664.4668431198721,15727.943419730498,172.30936081898432
39,687.1597895195194,15724.214042999132,169.3339317821575
40,724.6012768589632,15719.863904242282,166.35850274533064
41,542.9680397645577,4256.442204150568,222.89165444503945
42,542.9680397645577,4257.114302186222,219.91622540821257
43,542.9680397645577,4257.332173049938,216.94079637138574
44,542.9680397645577,4258.324441565168,213.96536733455915
45,544.0608299124016,4256.1886430522145,210.98993829773235
46,546.3966175294405,4252.126380447975,208.01450926090556
47,550.758466604026,4249.144421617311,205.039080224079
48,557.4701950738669,4247.518862484021,202.06365118725174
49,565.045169073157,4246.170586159691,199.0882221504253
50,573.224072822865,4244.700718345658,196.1127931135983
51,582.1253995408762,4242.724206173575,193.13736407677177
52,592.2290679384504,4242.040996860189,190.16193503994515
53,604.5923204513184,4241.465571666501,187.18650600311824
54,618.9523512416059,4238.283249209056,184.21107696629153
55,634.5817211343111,4235.03109478915,181.23564792946468
56,652.8430922141099,4231.147567489177,178.26021889263802
57,673.9171683724851,4229.208362197401,175.28478985581123
58,696.3649200366549,4225.4867612636035,172.3093608189846
59,722.4728054444773,4221.378720844941,169.33393178215778
60,792.1245487713968,4217.341264073947,166.35850274533087
61,542.9680397645577,4256.875764521006,222.8916544450392
62,542.9680397645577,4258.3099050168785,219.91622540821245
63,542.9680397645577,4258.3099050168785,216.9407963713858
64,542.9680397645577,4258.534870584619,213.96536733455878
