,version,social,economic,technical
0,augmecon_social_eps39,659.8691089292712,14372.42082671404,175.4220497250759
1,augmecon_social_eps53,506.5755674283817,14236.410504407802,217.55846578307379
2,augmecon_social_eps54,524.390695605607,14231.996221071571,211.53897777479023
3,augmecon_social_eps55,534.7134264958206,14231.396442161029,205.51948976650453
4,augmecon_social_eps56,553.0321521197463,14386.285162867984,199.50000175821899
5,augmecon_social_eps57,569.8136706531866,14384.626179024479,193.48051374993292
6,augmecon_social_eps58,590.8229261164444,14383.567582195268,187.46102574164783
7,augmecon_social_eps59,622.1425432179645,14375.942750007782,181.44153773336149
8,augmecon_social_eps60,656.4466563511703,14371.396075804381,175.42204972507562
9,augmecon_social_eps61,707.5976041719504,14364.73530145466,169.40256171678982
10,augmecon_social_eps63,500.8343056121522,12736.382329547869,283.77283387421875
11,augmecon_social_eps64,501.74087146413603,12730.917649787893,277.75334586593334
12,augmecon_social_eps65,507.0334197030348,12729.006907678156,271.7338578576477
13,augmecon_social_eps66,494.3083107545863,12735.82400522917,265.7143698493617
14,augmecon_social_eps67,499.8911281070139,12733.245936511446,259.6948818410761
15,augmecon_social_eps68,502.9282366047418,12729.764239994867,253.67539383279018
16,augmecon_social_eps69,509.04549317860955,13043.380305686083,247.65590582450423
17,augmecon_social_eps70,509.04549317860966,13041.681129446359,241.63641781621885
18,augmecon_social_eps71,502.88213655019814,12729.85883668093,235.61692980793302
19,augmecon_social_eps72,505.9099889752673,12728.834534488647,229.59744179964733
20,augmecon_social_eps73,508.4980726240607,12728.35720413637,223.57795379136107
21,augmecon_social_eps84,507.68108564704914,12729.306184443902,283.7728338742189
22,augmecon_social_eps85,494.3083107545863,12736.271281219213,277.7533458659331
23,augmecon_social_eps86,509.58677934750244,12731.430964911819,271.73385785764754
24,augmecon_social_eps87,504.2005886302423,12729.568123665511,265.71436984936213
25,augmecon_social_eps88,506.70398253189137,12729.28614248029,259.6948818410759
26,augmecon_social_eps89,500.27201166306946,12731.323294835178,253.67539383279038
27,augmecon_social_eps90,508.8395609489353,12727.953175801109,247.65590582450432
28,augmecon_social_eps91,502.86796844384537,12729.197619512848,241.63641781621888
29,augmecon_social_eps92,498.2678255217224,12732.090918361513,235.61692980793296
30,augmecon_social_eps93,505.88119488920506,12729.100648030551,229.59744179964522
31,augmecon_social_eps94,506.477316887838,12728.582400944719,223.5779537913617
32,augmecon_social_eps97,540.445647619179,13030.212312788697,205.51948976650468
33,augmecon_social_eps105,508.43212782491435,11223.65455546913,283.7728338742192
34,augmecon_social_eps106,508.92694677318303,11219.811190600354,277.75334586593345
35,augmecon_social_eps108,506.0031565088772,11220.733402427102,265.71436984936184
36,augmecon_social_eps109,508.8592665734578,11220.96254641006,259.6948818410759
37,augmecon_social_eps110,494.3083107545863,11228.375044415448,253.67539383279026
38,augmecon_social_eps111,506.87463776875995,11220.819804222936,247.65590582450733
39,augmecon_social_eps112,508.47226826394115,11219.812399869352,241.63641781621894
40,augmecon_social_eps113,500.60087400973805,11223.229084180532,235.61692980793305
41,augmecon_social_eps126,503.43641030287307,11222.428017449949,283.7728338742188
42,augmecon_social_eps127,507.040413713925,11221.744444769753,277.7533458659336
43,augmecon_social_eps128,503.90196621451,11228.526133158342,271.7338578576475
44,augmecon_social_eps129,509.04549317860835,11685.271457719082,265.7143698493617
45,augmecon_social_eps130,505.35358613731296,11221.383785955779,259.694881841076
46,augmecon_social_eps147,502.61175777059077,9717.030268746263,283.7728338742177
47,augmecon_social_eps148,494.3083107545863,9721.054448164628,277.7533458659337
48,augmecon_social_eps149,507.4568862300008,9713.308629354122,271.73385785764793
49,augmecon_social_eps150,500.91292124989843,9714.935063705916,265.7143698493625
50,augmecon_social_eps151,506.58303261812574,9718.615624779839,259.6948818410759
51,augmecon_social_eps152,496.7911411044588,9717.521102582637,253.67539383279058
52,augmecon_social_eps153,502.23316731202823,9714.955612617237,247.65590582450494
53,augmecon_social_eps168,494.30831075458633,9719.001533568313,283.7728338742194
54,augmecon_social_eps169,509.04549317860955,10327.770379710259,277.7533458659329
