,config_1_opportunistic
Charging point info,10 CPs (2.40 kW)
Investment cost,"$2,000.00"
Peak demand increase,0.00%
PAPR,2.44
Average SOC at dep time,81.93%
SOC min-max range,65.64%
Average num of charging days,5.70
Optimality gap,0.0001%
Economic weight,0.025
Technical weight,0.95
Social weight,0.025
Normalised objective value,0.1473
Total objective value,"5,434.50"
Economic objective,"4,217.34"
Technical objective,164.80
Social objective,"1,052.36"
