,config_3_uncoordinated
Charging point info,6 CPs (2.40 kW)
Investment cost,"$1,200.00"
Peak demand increase,3.01%
PAPR,2.45
Average SOC at dep time,94.57%
Lowest SOC at dep time,45.60%
SOC min-max range,54.40%
Average num of charging days,6.90
