,config_2_opportunistic
Charging point info,6 CPs (2.40 kW)
Investment cost,"$1,200.00"
Peak demand increase,0.00%
PAPR,2.36
Average SOC at dep time,95.25%
Lowest SOC at dep time,72.41%
SOC min-max range,27.59%
Average num of charging days,6.60
Optimality gap,2.8081%
Economic objective,345.18
Technical objective,274.27
Social objective,341.26
