,config_1_opportunistic
Charging point info,10 CPs (2.40 kW)
Investment cost,"$2,000.00"
Peak demand increase,0.00%
PAPR,2.43
Average SOC at dep time,96.32%
Lowest SOC at dep time,73.73%
SOC min-max range,26.27%
Average num of charging days,6.70
Optimality gap,0.0000%
Economic objective,422.42
Technical objective,195.36
Social objective,522.69
