,config_1_flexible
Charging point info,10 CPs (2.40 kW)
Investment cost,"$2,000.00"
Peak demand increase,0.00%
PAPR,2.40
Average SOC at dep time,91.21%
Lowest SOC at dep time,45.60%
SOC min-max range,54.40%
Average num of charging days,3.50
Optimality gap,0.8262%
Economic objective,424.87
Technical objective,235.08
Social objective,654.27
