,config_1_opportunistic
Charging point info,10 CPs (2.40 kW)
Investment cost,"$2,000.00"
Peak demand increase,0.00%
PAPR,2.39
Average SOC at dep time,94.90%
Lowest SOC at dep time,72.87%
SOC min-max range,27.13%
Average num of charging days,6.60
Optimality gap,0.0000%
Economic objective,425.28
Technical objective,208.58
Social objective,545.74
