,config_1_uncoordinated,config_1_opportunistic,config_1_flexible
investment_cost,10000.0,10000.0,10000.0
avg_p_peak,69.80191940205455,67.9450952109619,67.9401690633551
avg_papr,1.7463764646170834,1.7234546348270494,1.7241953802972552
avg_daily_peak_increase,1.0289066886824159,1.0015599126795898,1.0014913251926845
num_cp,50.0,50.0,50.0
p_cp_rated,2.4,2.4,2.4
total_cost_per_user,35.53035792896959,32.07887710846883,31.613093004956312
avg_soc_t_dep_percent,98.72415781628418,95.33861300083953,91.06069803528386
lowest_soc_percent,75.02191182674467,66.45903196735561,48.85584543353901
highest_soc_percent,100.0,100.0,100.0
avg_num_charging_days,7.0,6.4,3.82
mip_gap,,2.111779003605737e-12,0.3073299731143101
