,economic_objective,technical_objective,social_objective
0,4215.106649625587,999.9999999999934,1799.9999999999986
1,4215.106649625587,999.9999999999922,1499.9999999999984
2,4215.106649625587,999.9999999999931,1199.999999999998
3,4215.106649625587,999.9999999999937,899.9999999999993
4,4235.206924872012,999.9999999999931,599.9999999999994
5,4215.106649625587,799.999999999993,1799.9999999999986
6,4215.106649625587,799.9999999999927,1499.9999999999993
7,4215.106649625587,799.9999999999937,1199.9999999999984
8,4215.106649625587,799.9999999999943,899.9999999999984
9,4235.206924872012,799.9999999999936,599.9999999999998
10,4215.106649625587,599.9999999999941,1799.9999999999975
11,4215.106649625587,599.9999999999937,1499.9999999999982
12,4215.106649625587,599.9999999999927,1199.9999999999977
13,4215.106649625587,599.9999999999939,899.9999999999983
14,4235.206924872012,599.9999999999951,599.9999999999997
15,4215.106649625587,399.999999999998,1799.9999999999984
16,4215.106649625587,399.99999999999847,1499.999999999999
17,4215.106649625587,399.9999999999986,1199.9999999999975
18,4215.106649625587,399.9999999999984,899.9999999999992
19,4235.206924872013,399.99999999999824,599.9999999999997
20,4215.106649625588,200.00000000000028,1799.9999999999989
21,4215.106649625587,200.00000000000034,1499.9999999999984
22,4215.106649625588,200.0000000000007,1199.9999999999984
23,4215.106649625587,200.00000000000037,899.9999999999995
24,4235.206924872013,200.00000000000023,599.9999999999989
25,15717.779825665148,163.51755831781904,1799.999999999999
26,15717.779825665148,163.517558317819,1499.9999999999984
27,15717.779825665148,163.517558317819,1199.9999999999989
28,15717.784819129916,163.9213604312829,899.9999999999975
29,15738.501757229531,182.39859701023963,599.9999999999985
30,4217.341264073948,164.73034528916654,1799.999999999999
31,4217.341264073947,164.7303452891677,1499.9999999999989
32,4217.341264073947,164.7303452891677,1199.9999999999984
33,4217.341264073948,165.30287392764552,899.9999999999977
34,4242.04099686019,188.17684702572416,599.9999999999982
35,4217.341264073948,164.73034528916654,1799.999999999999
36,4217.341264073947,164.7303452891677,1499.9999999999989
37,4217.341264073947,164.7303452891677,1199.9999999999984
38,4217.341264073948,165.30287392764552,899.9999999999977
39,4242.04099686019,188.17684702572416,599.9999999999982
40,4217.341264073948,164.73034528916654,1799.999999999999
41,4217.341264073947,164.7303452891677,1499.9999999999989
42,4217.341264073947,164.7303452891677,1199.9999999999984
43,4217.341264073948,165.30287392764552,899.9999999999977
44,4242.04099686019,188.17684702572416,599.9999999999982
45,4217.341264073949,164.7303452891665,1799.9999999999989
46,4217.341264073947,164.7303452891683,1499.9999999999986
47,4217.341264073948,164.7303452891671,1199.9999999999984
48,4217.341264073948,165.30287392764478,899.999999999998
49,4242.040996860191,188.17684702572194,599.9999999999985
50,15755.865325580859,1000.0000000000105,509.0454931786097
51,15755.865325580859,800.0000000000026,509.0454931786097
52,15755.865325580859,599.9999999999973,509.0454931786097
53,15755.213945548347,399.99999999999926,509.04549317860966
54,15746.329964431503,200.00000000000034,536.9106900423259
55,4255.802832576668,999.9999999999937,542.9680397645558
56,4255.802832576668,799.9999999999947,542.9680397645558
57,4255.802832576668,599.9999999999937,542.9680397645558
58,4255.403699154205,399.9999999999979,542.9680397645558
59,4246.269306614791,199.99999999999892,562.62945352864
60,4255.802832576668,999.9999999999937,542.9680397645558
61,4255.802832576668,799.9999999999947,542.9680397645558
62,4255.802832576668,599.9999999999937,542.9680397645558
63,4255.403699154205,399.9999999999979,542.9680397645558
64,4246.269306614791,199.99999999999892,562.62945352864
65,4255.802832576668,999.9999999999937,542.9680397645558
66,4255.802832576668,799.9999999999947,542.9680397645558
67,4255.802832576668,599.9999999999937,542.9680397645558
68,4255.403699154205,399.9999999999979,542.9680397645558
69,4246.269306614791,199.99999999999892,562.62945352864
70,4256.110886190245,999.9999999999941,542.9680397645577
71,4256.110886190245,799.9999999999957,542.9680397645577
72,4256.110886190245,599.9999999999953,542.9680397645577
73,4255.358514281144,399.99999999998386,542.9680397645577
74,4246.269306614791,199.99999999999878,562.6294535286397
