,investment_cost,avg_p_peak,avg_papr,avg_daily_peak_increase,total_cost_per_user,avg_soc_t_dep_percent,lowest_soc_percent,highest_soc_percent,soc_range,num_cp,p_cp_rated,avg_num_charging_days,economic_weight,technical_weight,social_weight,objective_value,mip_gap
config_1_opportunistic,2000.0,16.69072048007455,2.055050124829364,1.0421606215340413,30.451601834902966,63.36854423418556,24.56839796572681,100.0,75.4316020342732,10.0,1.3,4.8,1.0,0.0,0.0,4215.106649625588,8.63081081807232e-14
config_1_opportunistic,2000.0,16.438593585434493,2.0095686873396055,1.0255582082627008,31.000046109553416,90.89586076491526,55.207715734346884,100.0,44.792284265653116,10.0,2.4,6.4,0.9,0.0,0.1,3866.8747433478547,0.0
config_1_opportunistic,2000.0,16.071188034285658,1.961930381669038,0.9999999999999963,30.925378264780257,89.91064543706544,55.207715734346884,100.0,44.792284265653116,10.0,2.4,5.9,0.8,0.1,0.1,3463.1185931721034,0.0
config_1_opportunistic,2000.0,16.52438331512726,1.998567096233977,1.0310291301953802,33.40136905509557,93.70372511031832,67.94199140421388,100.0,32.05800859578612,10.0,2.4,6.6,0.8,0.0,0.2,3507.1046408677516,3.889938260644088e-14
config_1_opportunistic,2000.0,16.071188034285658,1.961930381669039,0.9999999999999963,30.92537826478025,89.91064543706545,55.207715734346884,100.0,44.792284265653116,10.0,2.4,5.9,0.7000000000000001,0.2,0.1,3059.1524091542756,1.7838170449788676e-13
config_1_opportunistic,2000.0,16.071188034285658,1.9403798135606742,0.9999999999999963,33.54970673367445,93.38254601292186,65.70878106318624,100.0,34.29121893681376,10.0,2.4,6.6,0.7000000000000001,0.1,0.2,3103.713483052058,0.0
config_1_opportunistic,2000.0,16.54218468934834,1.9967064806747261,1.0304063599812359,33.57323024130414,94.4792045611274,69.64285714285715,100.0,30.357142857142847,10.0,2.4,6.7,0.7000000000000001,0.0,0.3,3137.737783820564,0.0
config_1_opportunistic,2000.0,16.07118803428564,1.9612022154443356,0.9999999999999953,31.127400386461215,90.09767757193437,55.207715734346884,100.0,44.792284265653116,10.0,2.4,5.9,0.6000000000000001,0.30000000000000004,0.1,2655.0386431219445,0.0
config_1_opportunistic,2000.0,16.07118803428564,1.943557922661562,0.9999999999999953,33.14383911352704,93.23172845882112,65.70878106318632,100.0,34.29121893681368,10.0,2.4,6.5,0.6000000000000001,0.2,0.2,2699.850379623495,2.694948456809696e-13
config_1_opportunistic,2000.0,16.071188034285676,1.9396285153721091,0.9999999999999973,33.63892295363742,93.63041003150786,65.70878106318607,100.0,34.291218936813934,10.0,2.4,6.6,0.6000000000000001,0.1,0.3,2734.1819939182906,0.0
config_1_opportunistic,2000.0,16.608235785786633,2.00500879727788,1.034860312166041,33.69888552986668,95.23793490436772,71.20932702578273,100.0,28.790672974217273,10.0,2.4,6.5,0.6000000000000001,0.0,0.4,2768.015931277066,6.571455687780802e-14
config_1_opportunistic,2000.0,16.07118803428564,1.9678964142434656,0.9999999999999953,30.58361720620972,76.97405972783349,34.36270884428531,100.0,65.63729115571469,10.0,2.4,4.9,0.5,0.5,0.0,2190.8924832731213,0.0
config_1_opportunistic,2000.0,16.07118803428564,1.9609430784391015,0.9999999999999953,31.12755915229115,89.78685559391714,55.207715734346884,100.0,44.792284265653116,10.0,2.4,6.1,0.5,0.4,0.1,2250.2201137652883,3.63762294447703e-13
config_1_opportunistic,2000.0,16.07118803428564,1.9446459803824914,0.9999999999999953,33.12359723520795,93.18386020783288,67.30136402623661,100.0,32.69863597376339,10.0,2.4,6.5,0.5,0.30000000000000004,0.2,2295.352022160519,0.0
config_1_opportunistic,2000.0,16.071188034285658,1.939362012645948,0.9999999999999968,33.66870872043503,93.81279509377656,65.70878106318607,100.0,34.291218936813934,10.0,2.4,6.5,0.5,0.2,0.3,2330.51321131574,5.463571612894783e-13
config_1_opportunistic,2000.0,16.071188034285658,1.9391054251690607,0.9999999999999968,33.69888552986673,93.92441867936873,65.70878106318607,100.0,34.291218936813934,10.0,2.4,6.5,0.5,0.1,0.4,2364.343694534677,0.0
config_1_opportunistic,2000.0,16.52754306956177,1.9963962003921087,1.031191293917304,33.698885529866985,94.95626704770046,71.20932702578273,100.0,28.790672974217273,10.0,2.4,6.5,0.5,0.0,0.5,2398.1250424525256,0.0
