,investment_cost,avg_p_peak,avg_papr,avg_daily_peak_increase,total_cost_per_user,avg_soc_t_dep_percent,lowest_soc_percent,highest_soc_percent,soc_range,num_cp,p_cp_rated,avg_num_charging_days,economic_weight,technical_weight,social_weight,objective_value,mip_gap
config_3_flexible,200.0,16.414045177142857,2.0963379230415575,1.0224835742918985,23.887749218018616,66.29164347670925,32.33115166786654,100.0,67.66884833213345,1.0,2.4,2.8,1.0,0.0,0.0,2230.0293773666526,0.0
config_3_flexible,200.0,16.351393194476188,2.0801556609908807,1.0172578362541531,24.619095041848734,81.00455025517864,51.505986746101925,100.0,48.494013253898075,1.0,2.4,2.8,0.9,0.0,0.1,2056.3233503686697,0.21158973617707028
config_3_flexible,200.0,16.242616605714282,2.069977387643276,1.0109184083826395,24.067857062506867,80.72138953006629,38.80595035062725,100.0,61.19404964937275,1.0,2.4,2.8,0.8,0.1,0.1,1853.7498381832154,0.7001303507643085
config_3_flexible,200.0,16.35139319447619,2.073452339231738,1.0169344198405947,25.59491717192731,82.04724128203534,49.76376539984339,100.0,50.23623460015661,1.0,2.4,2.8,0.8,0.0,0.2,1877.5911651295921,0.8749525008259182
config_3_flexible,200.0,16.236221541199637,2.0687441442711583,1.0105343103675852,24.216143677428448,80.36748039750995,49.76376539984339,100.0,50.23623460015661,1.0,2.4,2.8,0.7000000000000001,0.2,0.1,1641.51969001776,0.5858159338939911
config_3_flexible,200.0,16.30278111631883,2.067230862327474,1.0162472447198392,26.60428044498433,84.53581003450445,43.47540666398994,100.0,56.52459333601006,1.0,2.4,2.8,0.7000000000000001,0.1,0.2,1669.2133978678442,0.7025123269177752
config_3_flexible,200.0,16.414045177142857,2.0791113900339786,1.0233349396932039,26.744440347156814,84.93151727987508,51.50598674610178,100.0,48.49401325389822,1.0,2.4,2.8,0.7000000000000001,0.0,0.3,1691.270444716281,0.8773905263682779
config_3_flexible,200.0,16.242616605714282,2.0702695268182296,1.0109184083826395,24.074571906679715,79.39178312721108,43.475406663989915,100.0,56.524593336010085,1.0,2.4,2.8,0.6000000000000001,0.30000000000000004,0.1,1438.5371845614764,0.8658146467661292
config_3_flexible,200.0,16.229491591138608,2.0565162699078483,1.0101292274913838,26.49304517192735,84.76155900393468,51.505986746101826,100.0,48.494013253898174,1.0,2.4,2.8,0.6000000000000001,0.2,0.2,1462.301304374481,0.8944302441386035
config_3_flexible,200.0,16.282353375091525,2.062950084343432,1.0144379373948869,26.74444034715725,84.66043778252765,49.76376539984339,100.0,50.23623460015661,1.0,2.4,2.8,0.6000000000000001,0.1,0.3,1482.0393770078126,0.5544621838859513
config_3_flexible,200.0,16.32833089142857,2.06719278117748,1.0176588507720365,26.66736082757842,84.54688601139244,49.76376539984339,100.0,50.23623460015661,1.0,2.4,2.8,0.6000000000000001,0.0,0.4,1501.9461998066233,0.890572220772237
config_3_flexible,200.0,16.071188034285715,2.050143632188913,1.0,23.93310921802173,66.50406437848088,25.927064611135652,99.99999999999999,74.07293538886434,1.0,2.4,2.8,0.5,0.5,0.0,1190.099875290724,0.8694439484648594
config_3_flexible,200.0,16.19188500112995,2.0608805043894893,1.0088687226792097,24.56246442418227,81.19045746285278,38.805950350627086,100.0,61.194049649372914,1.0,2.4,2.8,0.5,0.4,0.1,1225.399286280587,0.7265188725747144
config_3_flexible,200.0,16.156902319999997,2.0525152579321033,1.0057702684492191,25.24762848578325,81.57209138350244,49.76376539984339,100.0,50.23623460015661,1.0,2.4,2.8,0.5,0.30000000000000004,0.2,1253.4057220488219,0.8514891577541771
config_3_flexible,200.0,16.322468748956787,2.069148500153,1.0181581263262076,26.744440347157383,84.64506815613822,49.76376539984339,100.0,50.23623460015661,1.0,2.4,2.8,0.5,0.2,0.3,1274.998014039908,0.6819628716399971
config_3_flexible,200.0,16.186457155718152,2.0500799354989483,1.008387972489896,26.6673608275785,84.48890867033317,49.76376539984339,100.0,50.23623460015661,1.0,2.4,2.8,0.5,0.1,0.4,1295.382992167875,0.8863807435048845
config_3_flexible,200.0,16.242616605714282,2.05826021988796,1.0133620762399218,26.719200827578277,84.60021865093317,49.76376539984339,100.0,50.23623460015661,1.0,2.4,2.8,0.5,0.0,0.5,1316.205482314101,0.8932800083390698
config_3_flexible,200.0,16.207654974182596,2.064826964683166,1.008818555716005,24.102347496468415,79.61099292906627,38.805950350627086,100.0,61.194049649372914,1.0,2.4,2.8,0.4,0.5,0.1,1016.936381956587,0.8687574818398162
config_3_flexible,200.0,16.220851585910328,2.058493954543739,1.0114343246926096,25.956972071482966,83.63204057715939,49.76376539984339,100.0,50.23623460015661,1.0,2.4,2.8,0.4,0.4,0.2,1045.2838801038442,0.8279381253520154
config_3_flexible,200.0,16.218071183044653,2.0544712756906405,1.0111880613776791,26.764560827578464,84.56432085449211,49.76376539984339,100.0,50.23623460015661,1.0,2.4,2.8,0.4,0.30000000000000004,0.3,1067.2239442812652,0.8834897423476272
config_3_flexible,200.0,16.18941322397127,2.0500887525976283,1.008649794679824,26.764560827578435,84.5548944142242,49.76376539984339,100.0,50.23623460015661,1.0,2.4,2.8,0.4,0.2,0.4,1088.1924736831384,0.8351411276544586
config_3_flexible,200.0,16.242616605714282,2.05828533569681,1.0133620762399218,26.719200927205804,84.58976750158178,49.76376539984339,100.0,50.23623460015661,1.0,2.4,2.8,0.4,0.1,0.5,1109.699822642037,0.77452922882339
config_3_flexible,200.0,16.32833089142857,2.066907103871574,1.0176588507720365,26.7192006822059,84.63638528464847,49.76376539984339,100.0,50.23623460015661,1.0,2.4,2.8,0.4,0.0,0.6,1130.598323082397,0.8948124127140991
config_3_flexible,200.0,16.21995764351744,2.065268750692252,1.0095574741210593,24.55079111839196,80.7470594048124,38.80595035062709,100.0,61.19404964937291,1.0,2.4,2.8,0.30000000000000004,0.6000000000000001,0.1,808.5732209230268,0.8613796346405094
config_3_flexible,200.0,16.242616605714282,2.060088159966265,1.0109184083826395,26.062690927776124,84.0368614941894,38.805950350627086,100.0,61.194049649372914,1.0,2.4,2.8,0.30000000000000004,0.5,0.2,838.058374651583,0.8922725861438188
config_3_flexible,200.0,16.156902319999997,2.045223195018804,1.0057702684492191,26.83680882646429,84.28199292983238,49.76376539984339,100.0,50.23623460015661,1.0,2.4,2.8,0.30000000000000004,0.4,0.3,860.0334495662509,0.8392597350722311
config_3_flexible,200.0,16.232978015342795,2.056565441184943,1.0125083757760625,26.764560827578357,84.5836292928482,49.76376539984339,100.0,50.23623460015661,1.0,2.4,2.8,0.30000000000000004,0.30000000000000004,0.4,880.8022847775043,0.36860098054224644
