,investment_cost,avg_p_peak,avg_papr,avg_daily_peak_increase,total_cost_per_user,avg_soc_t_dep_percent,lowest_soc_percent,highest_soc_percent,soc_range,num_cp,p_cp_rated,avg_num_charging_days,economic_weight,technical_weight,social_weight,objective_value,mip_gap
config_2_opportunistic,200.0,16.32833089142857,2.0820481579302585,1.0157431319025014,23.887749218021735,74.57068938590588,49.05597822188943,100.0,50.94402177811057,1.0,2.4,6.0,1.0,0.0,0.0,2230.0293773666685,0.0
config_2_opportunistic,200.0,16.414045177142857,2.089600067646777,1.0228069907054569,24.441651391504273,80.97235579961898,56.28855506071937,100.0,43.71144493928063,1.0,2.4,6.6,0.9,0.0,0.1,2053.8254328649505,0.326589444284362
config_2_opportunistic,200.0,16.156902319999997,2.0573059492039163,1.0057702684492191,24.37283191950246,81.48746866325793,43.26612963833123,100.0,56.73387036166877,1.0,2.4,5.0,0.8,0.1,0.1,1850.717955750512,0.6342308351145776
config_2_opportunistic,200.0,16.242616605714282,2.05683100801249,1.0109184083826395,26.776857317629357,85.30633801155086,57.06154230165852,100.0,42.93845769834148,1.0,2.4,6.8,0.8,0.0,0.2,1865.3586909093135,0.47375382585595205
config_2_opportunistic,200.0,16.166091671069747,2.058631047346651,1.006322195876604,24.22356436494804,81.2674389139516,55.95043119054627,100.0,44.04956880945373,1.0,2.4,5.2,0.7000000000000001,0.2,0.1,1643.2622221545541,0.7664612738192228
config_2_opportunistic,200.0,16.22842933340741,2.0552297897766776,1.010066297646364,26.742887352653117,85.65533237402236,60.39487563499072,100.0,39.60512436500928,1.0,2.4,5.8,0.7000000000000001,0.1,0.2,1654.0430523002217,0.3186074072501817
config_2_opportunistic,200.0,16.265678908761906,2.057816225114731,1.01263764530848,26.77685731763117,85.6929400998333,59.28376452388074,100.0,40.71623547611926,1.0,2.4,7.0,0.7000000000000001,0.0,0.3,1665.8575840762883,0.28547704973848814
config_2_opportunistic,200.0,16.156902319999997,2.056840429430754,1.0057702684492191,24.323941918368227,81.13487369129582,59.278053541841544,100.0,40.721946458158456,1.0,2.4,5.0,0.6000000000000001,0.30000000000000004,0.1,1433.4810416756031,0.7980048348794134
config_2_opportunistic,200.0,16.16942954747505,2.049846582012411,1.0065226741827786,26.05608852913044,84.18930264774725,61.50598674610186,100.0,38.49401325389814,1.0,2.4,5.6,0.6000000000000001,0.2,0.2,1451.954420580124,0.7437672077739861
config_2_opportunistic,200.0,16.199964785709728,2.050435945179599,1.008356670317132,26.686403170742704,86.41918253946525,58.45657585735975,100.0,41.54342414264025,1.0,2.4,6.2,0.6000000000000001,0.1,0.3,1464.8876974571956,0.6777686566146592
