,config_1_uncoordinated
Charging point info,10 CPs (2.40 kW)
Investment cost,"$2,000.00"
Peak demand increase,3.01%
PAPR,2.44
Average SOC at dep time,94.67%
Lowest SOC at dep time,47.78%
SOC min-max range,52.22%
Average num of charging days,7.00
