,config_2_opportunistic
Charging point info,5 CPs (2.40 kW)
Investment cost,"$1,000.00"
Peak demand increase,0.00%
PAPR,2.40
Average SOC at dep time,93.44%
Lowest SOC at dep time,64.83%
SOC min-max range,35.17%
Average num of charging days,6.20
Optimality gap,2.9666%
Economic objective,321.03
Technical objective,248.38
Social objective,552.07
