,config_1_opportunistic
investment_cost,2000.0
p_peak_increase,0.0
papr,2.4277
avg_soc_t_dep_percent,96.3227
avg_soc_to_max_deviation,3.6773000000000025
soc_range,26.27179103167596
lowest_soc,73.72820896832404
num_cp,10.0
p_cp_rated,2.4
avg_num_charging_days,6.7
economic,1.0
technical,1.0
social,1.0
normalised_objective,1140.4667764758321
norm_economic,0.06941742283038496
norm_technical,17.945414129438944
norm_social,1.4578202612057316
total_objective_value,1140.4667764758321
economic_objective,422.41620104054545
technical_objective,195.36480995988023
social_objective,522.6857654754065
mip_gap,0.0
