,config_1_opportunistic
investment_cost,2000.0
p_peak_increase,0.0
papr,2.3598
avg_soc_t_dep_percent,92.0683
avg_soc_to_max_deviation,7.931700000000006
soc_range,43.824129817616274
lowest_soc,56.175870182383726
num_cp,10.0
p_cp_rated,2.4
avg_num_charging_days,6.5
economic,1.0
technical,1.0
social,1.0
normalised_objective,1271.493898201063
norm_economic,0.529730071827473
norm_technical,35.83338077281944
norm_social,6.242811507093262
total_objective_value,1271.493898201063
economic_objective,428.4208853665385
technical_objective,227.24416516091313
social_objective,615.8288476736114
mip_gap,0.0
