,version,economic,technical
0,augmecon_social_eps2,6702.652305803,254.1686130925893
1,augmecon_social_eps3,6702.652305803,239.36650270177444
2,augmecon_social_eps4,6702.652305803,224.56439231095953
3,augmecon_social_eps5,6702.652305803,209.76228192014466
4,augmecon_social_eps6,6702.652305803,194.96017152932978
5,augmecon_social_eps7,6702.652305803,180.15806113851488
6,augmecon_social_eps8,6702.652305803,165.3559507477
7,augmecon_social_eps9,6184.037865904125,283.7728338742191
8,augmecon_social_eps10,6184.037865904125,268.9707234834042
9,augmecon_social_eps11,6184.037865904125,254.1686130925893
10,augmecon_social_eps12,6184.037865904125,239.36650270177444
11,augmecon_social_eps13,6184.037865904125,224.56439231095953
12,augmecon_social_eps14,6184.037865904125,209.76228192014466
13,augmecon_social_eps15,6184.037865904125,194.96017152932978
14,augmecon_social_eps16,6184.037865904125,180.15806113851488
15,augmecon_social_eps17,6184.037865904125,165.3559507477
16,augmecon_social_eps18,5665.42342600525,283.7728338742191
17,augmecon_social_eps19,5665.42342600525,268.9707234834042
18,augmecon_social_eps20,5665.42342600525,254.1686130925893
19,augmecon_social_eps21,5665.42342600525,239.36650270177444
20,augmecon_social_eps22,5665.42342600525,224.56439231095953
21,augmecon_social_eps23,5665.42342600525,209.76228192014466
22,augmecon_social_eps24,5665.42342600525,194.96017152932978
23,augmecon_social_eps25,5665.42342600525,180.15806113851488
24,augmecon_social_eps26,5665.42342600525,165.3559507477
25,augmecon_social_eps27,5146.8089861063745,283.7728338742191
26,augmecon_social_eps28,5146.8089861063745,268.9707234834042
27,augmecon_social_eps29,5146.8089861063745,254.1686130925893
28,augmecon_social_eps30,5146.8089861063745,239.36650270177444
29,augmecon_social_eps31,5146.8089861063745,224.56439231095953
30,augmecon_social_eps32,5146.8089861063745,209.76228192014466
31,augmecon_social_eps33,5146.8089861063745,194.96017152932978
32,augmecon_social_eps34,5146.8089861063745,180.15806113851488
33,augmecon_social_eps35,5146.8089861063745,165.3559507477
34,augmecon_social_eps36,4628.1945462075,283.7728338742191
35,augmecon_social_eps37,4628.1945462075,268.9707234834042
36,augmecon_social_eps38,4628.1945462075,254.1686130925893
37,augmecon_social_eps39,4628.1945462075,239.36650270177444
38,augmecon_social_eps40,4628.1945462075,224.56439231095953
39,augmecon_social_eps41,4628.1945462075,209.76228192014466
40,augmecon_social_eps42,4628.1945462075,194.96017152932978
41,augmecon_social_eps43,4628.1945462075,180.15806113851488
42,augmecon_social_eps44,4628.1945462075,165.3559507477
43,augmecon_social_eps45,4109.580106308626,283.7728338742191
44,augmecon_social_eps46,4109.580106308626,268.9707234834042
45,augmecon_social_eps47,4109.580106308626,254.1686130925893
46,augmecon_social_eps48,4109.580106308626,239.36650270177444
47,augmecon_social_eps49,4109.580106308626,224.56439231095953
48,augmecon_social_eps50,4109.580106308626,209.76228192014466
49,augmecon_social_eps51,4109.580106308626,194.96017152932978
50,augmecon_social_eps52,4109.580106308626,180.15806113851488
51,augmecon_social_eps53,4109.580106308626,165.3559507477
52,augmecon_social_eps55,3590.96566640975,268.9707234834042
53,augmecon_social_eps56,3590.96566640975,254.1686130925893
54,augmecon_social_eps57,3590.96566640975,239.36650270177444
55,augmecon_social_eps58,3590.96566640975,224.56439231095953
56,augmecon_social_eps59,3590.96566640975,209.76228192014466
57,augmecon_social_eps60,3590.96566640975,194.96017152932978
58,augmecon_social_eps61,3590.96566640975,180.15806113851488
59,augmecon_social_eps62,3590.96566640975,165.3559507477
60,augmecon_social_eps63,3072.351226510875,283.7728338742191
61,augmecon_social_eps64,3072.351226510875,268.9707234834042
62,augmecon_social_eps66,3072.351226510875,239.36650270177444
63,augmecon_social_eps67,3072.351226510875,224.56439231095953
64,augmecon_social_eps68,3072.351226510875,209.76228192014466
65,augmecon_social_eps69,3072.351226510875,194.96017152932978
66,augmecon_social_eps70,3072.351226510875,180.15806113851488
67,augmecon_social_eps71,3072.351226510875,165.3559507477
68,augmecon_social_eps72,2553.7367866120003,283.7728338742191
69,augmecon_social_eps73,2553.7367866120003,268.9707234834042
70,augmecon_social_eps74,2553.7367866120003,254.1686130925893
71,augmecon_social_eps75,2553.7367866120003,239.36650270177444
72,augmecon_social_eps76,2553.7367866120003,224.56439231095953
73,augmecon_social_eps77,2553.7367866120003,209.76228192014466
74,augmecon_social_eps78,2553.7367866120003,194.96017152932978
75,augmecon_social_eps79,2553.7367866120003,180.15806113851488
76,augmecon_social_eps80,2553.7367866120003,165.3559507477
