,version,economic,technical
0,augmecon_social_eps18,15710.112715706007,175.42204972507568
1,augmecon_social_eps38,15052.293919251302,181.44153773336143
2,augmecon_social_eps62,14394.475122796595,163.38307370850418
3,augmecon_social_eps74,13736.65632634189,217.5584657830759
4,augmecon_social_eps75,13736.65632634189,211.53897777479014
5,augmecon_social_eps76,13736.65632634189,205.5194897665044
6,augmecon_social_eps77,13736.65632634189,199.50000175821867
7,augmecon_social_eps78,13736.65632634189,193.48051374993292
8,augmecon_social_eps79,13736.65632634189,187.46102574164718
9,augmecon_social_eps80,13736.65632634189,181.44153773336143
10,augmecon_social_eps81,13736.65632634189,175.42204972507568
11,augmecon_social_eps82,13736.65632634189,169.40256171678993
12,augmecon_social_eps83,13736.65632634189,163.38307370850418
13,augmecon_social_eps95,13078.837529887183,217.5584657830759
14,augmecon_social_eps96,13078.837529887183,211.53897777479014
15,augmecon_social_eps98,13078.837529887183,199.50000175821867
16,augmecon_social_eps99,13078.837529887183,193.48051374993292
17,augmecon_social_eps100,13078.837529887183,187.46102574164718
18,augmecon_social_eps101,13078.837529887183,181.44153773336143
19,augmecon_social_eps102,13078.837529887183,175.42204972507568
20,augmecon_social_eps103,13078.837529887183,169.40256171678993
21,augmecon_social_eps104,13078.837529887183,163.38307370850418
22,augmecon_social_eps107,12421.018733432478,271.7338578576476
23,augmecon_social_eps114,12421.018733432478,229.59744179964738
24,augmecon_social_eps115,12421.018733432478,223.57795379136164
25,augmecon_social_eps116,12421.018733432478,217.5584657830759
26,augmecon_social_eps117,12421.018733432478,211.53897777479014
27,augmecon_social_eps118,12421.018733432478,205.5194897665044
28,augmecon_social_eps119,12421.018733432478,199.50000175821867
29,augmecon_social_eps120,12421.018733432478,193.48051374993292
30,augmecon_social_eps121,12421.018733432478,187.46102574164718
31,augmecon_social_eps122,12421.018733432478,181.44153773336143
32,augmecon_social_eps123,12421.018733432478,175.42204972507568
33,augmecon_social_eps124,12421.018733432478,169.40256171678993
34,augmecon_social_eps125,12421.018733432478,163.38307370850418
35,augmecon_social_eps131,11763.199936977773,253.67539383279035
36,augmecon_social_eps132,11763.199936977773,247.6559058245046
37,augmecon_social_eps133,11763.199936977773,241.63641781621888
38,augmecon_social_eps134,11763.199936977773,235.61692980793313
39,augmecon_social_eps135,11763.199936977773,229.59744179964738
40,augmecon_social_eps136,11763.199936977773,223.57795379136164
41,augmecon_social_eps137,11763.199936977773,217.5584657830759
42,augmecon_social_eps138,11763.199936977773,211.53897777479014
43,augmecon_social_eps139,11763.199936977773,205.5194897665044
44,augmecon_social_eps140,11763.199936977773,199.50000175821867
45,augmecon_social_eps141,11763.199936977773,193.48051374993292
46,augmecon_social_eps142,11763.199936977773,187.46102574164718
