,version,technical,economic
0,augmecon_social_eps18,255.98387262404665,3798.1188084440714
1,augmecon_social_eps20,255.98387262404665,2968.530793889255
2,augmecon_social_eps36,235.94112091722636,5457.294837553705
3,augmecon_social_eps37,235.94112091722636,5042.500830276296
4,augmecon_social_eps38,235.94112091722636,4627.706822998888
5,augmecon_social_eps40,235.94112091722636,3798.1188084440714
6,augmecon_social_eps42,235.94112091722636,2968.530793889255
7,augmecon_social_eps43,235.94112091722636,2553.7367866118466
8,augmecon_social_eps44,225.9197450638162,6701.67685938593
9,augmecon_social_eps45,225.9197450638162,6286.882852108522
10,augmecon_social_eps46,225.9197450638162,5872.088844831113
11,augmecon_social_eps47,225.9197450638162,5457.294837553705
12,augmecon_social_eps48,225.9197450638162,5042.500830276296
13,augmecon_social_eps53,225.9197450638162,2968.530793889255
14,augmecon_social_eps54,225.9197450638162,2553.7367866118466
15,augmecon_social_eps55,215.89836921040606,6701.67685938593
16,augmecon_social_eps56,215.89836921040606,6286.882852108522
17,augmecon_social_eps57,215.89836921040606,5872.088844831113
18,augmecon_social_eps58,215.89836921040606,5457.294837553705
19,augmecon_social_eps59,215.89836921040606,5042.500830276296
20,augmecon_social_eps60,215.89836921040606,4627.706822998888
21,augmecon_social_eps61,215.89836921040606,4212.91281572148
22,augmecon_social_eps62,215.89836921040606,3798.1188084440714
23,augmecon_social_eps64,215.89836921040606,2968.530793889255
24,augmecon_social_eps65,215.89836921040606,2553.7367866118466
25,augmecon_social_eps66,205.8769933569959,6701.67685938593
26,augmecon_social_eps67,205.8769933569959,6286.882852108522
27,augmecon_social_eps68,205.8769933569959,5872.088844831113
28,augmecon_social_eps69,205.8769933569959,5457.294837553705
29,augmecon_social_eps70,205.8769933569959,5042.500830276296
30,augmecon_social_eps71,205.8769933569959,4627.706822998888
31,augmecon_social_eps72,205.8769933569959,4212.91281572148
32,augmecon_social_eps73,205.8769933569959,3798.1188084440714
33,augmecon_social_eps75,205.8769933569959,2968.530793889255
34,augmecon_social_eps76,205.8769933569959,2553.7367866118466
35,augmecon_social_eps77,195.85561750358576,6701.67685938593
36,augmecon_social_eps78,195.85561750358576,6286.882852108522
37,augmecon_social_eps79,195.85561750358576,5872.088844831113
38,augmecon_social_eps80,195.85561750358576,5457.294837553705
39,augmecon_social_eps81,195.85561750358576,5042.500830276296
40,augmecon_social_eps82,195.85561750358576,4627.706822998888
41,augmecon_social_eps83,195.85561750358576,4212.91281572148
42,augmecon_social_eps84,195.85561750358576,3798.1188084440714
43,augmecon_social_eps86,195.85561750358576,2968.530793889255
44,augmecon_social_eps87,195.85561750358576,2553.7367866118466
45,augmecon_social_eps88,185.8342416501756,6701.67685938593
46,augmecon_social_eps89,185.8342416501756,6286.882852108522
47,augmecon_social_eps90,185.8342416501756,5872.088844831113
48,augmecon_social_eps91,185.8342416501756,5457.294837553705
49,augmecon_social_eps92,185.8342416501756,5042.500830276296
50,augmecon_social_eps93,185.8342416501756,4627.706822998888
51,augmecon_social_eps94,185.8342416501756,4212.91281572148
52,augmecon_social_eps95,185.8342416501756,3798.1188084440714
53,augmecon_social_eps96,185.8342416501756,3383.3248011666633
54,augmecon_social_eps97,185.8342416501756,2968.530793889255
55,augmecon_social_eps98,185.8342416501756,2553.7367866118466
56,augmecon_social_eps99,175.81286579676546,6701.67685938593
57,augmecon_social_eps100,175.81286579676546,6286.882852108522
58,augmecon_social_eps101,175.81286579676546,5872.088844831113
59,augmecon_social_eps102,175.81286579676546,5457.294837553705
60,augmecon_social_eps103,175.81286579676546,5042.500830276296
61,augmecon_social_eps104,175.81286579676546,4627.706822998888
62,augmecon_social_eps105,175.81286579676546,4212.91281572148
63,augmecon_social_eps106,175.81286579676546,3798.1188084440714
64,augmecon_social_eps107,175.81286579676546,3383.3248011666633
65,augmecon_social_eps108,175.81286579676546,2968.530793889255
66,augmecon_social_eps109,175.81286579676546,2553.7367866118466
67,augmecon_social_eps110,165.79148994335532,6701.67685938593
68,augmecon_social_eps111,165.79148994335532,6286.882852108522
69,augmecon_social_eps112,165.79148994335532,5872.088844831113
70,augmecon_social_eps113,165.79148994335532,5457.294837553705
71,augmecon_social_eps114,165.79148994335532,5042.500830276296
72,augmecon_social_eps115,165.79148994335532,4627.706822998888
73,augmecon_social_eps116,165.79148994335532,4212.91281572148
74,augmecon_social_eps117,165.79148994335532,3798.1188084440714
75,augmecon_social_eps118,165.79148994335532,3383.3248011666633
76,augmecon_social_eps119,165.79148994335532,2968.530793889255
77,augmecon_social_eps120,165.79148994335532,2553.7367866118466
