Once_DEPTIME,Once_ARRTIME,Twice_1st_DEPTIME,Twice_2nd_DEPTIME,Twice_1st_ARRTIME,Twice_2nd_ARRTIME,Three_1st_DEPTIME,Three _2nd_DEPTIME,Three_3rd_DEPTIME,Three_1st_ARRTIME,Three _2nd_ARRTIME,Three_3rd_ARRTIME
630,1010,510,920,940,1090,,,,,,
750,1115,780,1020,720,1015,,,,,,
720,1000,660,915,770,1410,,,,,,
495,750,510,750,545,955,,,,,,
615,1015,540,900,540,945,,,,,,
660,1170,630,1050,500,960,,,,,,
480,1025,510,916,930,1390,,,,,,
405,988,600,840,640,1220,,,,,,
884,1390,480,900,515,932,,,,,,
630,1065,520,755,1015,1435,,,,,,
510,852,500,900,825,917,,,,,,
555,1380,510,885,535,950,,,,,,
465,700,615,740,540,1290,,,,,,
594,960,530,915,887,1145,,,,,,
915,1320,780,1010,625,1010,,,,,,
1185,988,495,705,955,995,,,,,,
1165,910,1030,1130,510,930,,,,,,
1170,960,620,674,960,1350,,,,,,
495,650,390,1090,570,945,,,,,,
605,690,510,900,560,960,,,,,,
345,1245,850,1160,457,1050,,,,,,
510,900,540,660,575,880,,,,,,
1060,1035,990,1048,685,1005,,,,,,
480,1050,695,1155,722,1290,,,,,,
525,1200,540,900,1015,1227,,,,,,
600,970,570,825,635,1025,,,,,,
965,925,536,760,920,1252,,,,,,
540,1050,735,985,870,1080,,,,,,
465,1355,710,790,540,945,,,,,,
720,1170,585,1185,519,840,,,,,,
630,1260,840,1110,825,1175,,,,,,
465,1410,505,900,930,1330,,,,,,
1000,830,580,927,815,1020,,,,,,
840,940,507,920,499,1165,,,,,,
765,1155,660,1140,695,963,,,,,,
780,720,540,840,910,1255,,,,,,
920,790,1020,1195,990,1320,,,,,,
780,990,650,1170,525,975,,,,,,
930,1435,315,510,590,820,,,,,,
600,942,525,740,570,960,,,,,,
720,950,615,830,720,925,,,,,,
600,715,495,920,743,945,,,,,,
480,955,645,845,420,1020,,,,,,
650,1050,585,1130,718,791,,,,,,
660,810,690,1050,463,1210,,,,,,
490,730,660,810,1075,1325,,,,,,
728,927,1105,1290,560,975,,,,,,
360,715,660,775,525,960,,,,,,
660,545,540,750,548,960,,,,,,
1125,1342,685,920,1085,1157,,,,,,
540,840,528,900,525,950,,,,,,
660,765,905,1125,735,1055,,,,,,
480,920,720,1020,540,1295,,,,,,
660,750,780,930,750,940,,,,,,
540,1025,525,925,510,1100,,,,,,
900,800,965,1180,960,1305,,,,,,
405,784,530,1100,675,922,,,,,,
915,1090,420,900,880,1130,,,,,,
830,790,510,900,615,890,,,,,,
630,945,540,660,580,1005,,,,,,
440,975,540,900,800,1395,,,,,,
480,525,465,1020,802,850,,,,,,
1115,720,507,807,690,1325,,,,,,
720,839,390,940,1020,1155,,,,,,
480,700,366,1104,1070,1335,,,,,,
745,1065,630,940,595,1090,,,,,,
525,1270,490,925,875,925,,,,,,
675,1062,720,1025,780,1018,,,,,,
840,1020,480,1050,990,1390,,,,,,
660,1180,975,1125,1005,1125,,,,,,
1135,670,835,1210,1065,1104,,,,,,
1020,1320,510,910,660,1031,,,,,,
710,1115,715,865,775,900,,,,,,
525,1089,592,860,795,990,,,,,,
1005,430,630,1030,880,1350,,,,,,
570,510,525,910,590,1005,,,,,,
495,1305,510,690,612,920,,,,,,
1095,1230,510,945,930,1065,,,,,,
660,755,510,898,690,1155,,,,,,
630,480,510,990,970,1120,,,,,,
1015,950,525,930,745,1020,,,,,,
615,780,510,910,1065,1240,,,,,,
510,1010,495,870,760,1110,,,,,,
600,895,480,705,557,1276,,,,,,
615,1095,840,1170,645,1105,,,,,,
840,695,810,858,930,1305,,,,,,
1335,1030,480,555,690,1034,,,,,,
850,1055,570,765,692,975,,,,,,
540,1300,890,1090,535,950,,,,,,
485,1035,510,585,735,1410,,,,,,
660,1035,690,785,895,960,,,,,,
650,965,765,1020,580,1000,,,,,,
720,925,1012,1184,702,992,,,,,,
600,640,570,915,600,1190,,,,,,
1065,846,570,1035,685,900,,,,,,
850,1470,360,540,795,960,,,,,,
510,440,510,630,548,803,,,,,,
480,980,480,615,670,1045,,,,,,
720,550,600,1080,940,1165,,,,,,
600,1120,570,780,805,860,,,,,,
1140,555,536,902,620,1360,,,,,,
480,945,780,990,685,835,,,,,,
405,945,825,900,590,880,,,,,,
1020,535,495,790,715,1225,,,,,,
1110,860,700,1185,756,907,,,,,,
870,715,465,1080,635,1035,,,,,,
950,560,600,785,707,1138,,,,,,
960,1024,435,1095,495,915,,,,,,
585,1095,660,1110,1158,1387,,,,,,
690,633,570,800,765,870,,,,,,
690,865,555,810,845,1100,,,,,,
1050,1070,600,890,595,735,,,,,,
1260,700,710,1110,555,692,,,,,,
495,915,635,750,845,1000,,,,,,
840,1060,560,980,1023,1440,,,,,,
1090,840,415,715,545,970,,,,,,
1170,845,525,1143,620,1385,,,,,,
690,1055,660,865,530,870,,,,,,
750,645,530,985,785,1325,,,,,,
600,920,675,1035,555,960,,,,,,
540,1110,559,930,547,784,,,,,,
525,610,1190,1265,735,940,,,,,,
810,665,630,945,580,1110,,,,,,
1060,1230,645,1020,700,1005,,,,,,
840,885,588,960,875,1280,,,,,,
600,1240,630,840,670,945,,,,,,
830,590,600,890,990,1040,,,,,,
540,695,619,872,715,1040,,,,,,
550,490,450,990,670,1055,,,,,,
715,975,605,850,610,785,,,,,,
620,825,420,1020,565,770,,,,,,
995,1015,330,570,510,945,,,,,,
1070,1305,525,915,540,940,,,,,,
690,755,560,900,940,1090,,,,,,
675,495,540,600,745,945,,,,,,
825,1140,525,720,630,880,,,,,,
570,1010,525,570,890,1015,,,,,,
780,945,1060,1130,790,1210,,,,,,
730,755,630,795,527,939,,,,,,
540,965,510,990,620,860,,,,,,
600,945,530,940,515,915,,,,,,
990,600,600,1000,538,957,,,,,,
600,700,545,880,515,920,,,,,,
480,1230,510,915,570,934,,,,,,
480,575,480,900,685,980,,,,,,
720,810,570,715,585,935,,,,,,
1195,1210,540,1130,905,1055,,,,,,
960,1035,500,870,720,1020,,,,,,
980,1080,480,885,600,1030,,,,,,
250,920,480,870,1060,1385,,,,,,
990,840,1065,1195,663,1080,,,,,,
630,670,450,585,615,1290,,,,,,
885,640,510,910,550,970,,,,,,
600,640,555,672,965,1190,,,,,,
600,700,520,870,630,750,,,,,,
570,945,480,522,730,1170,,,,,,
960,1063,934,985,574,934,,,,,,
750,1175,525,910,435,1220,,,,,,
1270,735,530,715,720,965,,,,,,
725,815,505,925,546,800,,,,,,
945,930,690,945,970,1180,,,,,,
540,1080,500,980,684,1440,,,,,,
1170,921,750,1035,790,860,,,,,,
660,974,600,890,690,1395,,,,,,
750,990,465,915,525,925,,,,,,
375,980,1000,1175,755,955,,,,,,
820,1065,840,1245,670,1005,,,,,,
1125,540,350,760,632,1060,,,,,,
460,830,655,925,888,940,,,,,,
853,720,660,1010,995,1075,,,,,,
1145,620,530,920,690,960,,,,,,
595,1155,510,685,1050,1230,,,,,,
725,826,450,1010,420,1105,,,,,,
930,1065,600,930,545,970,,,,,,
570,1105,510,990,695,1080,,,,,,
825,1235,520,920,520,945,,,,,,
1050,935,525,900,965,1350,,,,,,
825,835,510,895,930,1115,,,,,,
1200,1050,510,900,690,1005,,,,,,
460,1240,600,1065,540,945,,,,,,
375,1080,480,870,715,1065,,,,,,
1055,860,750,1020,640,870,,,,,,
750,695,540,1000,730,1060,,,,,,
600,1170,515,1010,542,938,,,,,,
600,775,540,650,945,1285,,,,,,
320,925,510,1005,538,710,,,,,,
600,705,750,870,760,1100,,,,,,
1060,740,540,840,870,1330,,,,,,
570,750,825,920,860,1065,,,,,,
1163,755,510,750,720,1200,,,,,,
570,696,480,1035,535,940,,,,,,
600,1215,550,985,1000,1285,,,,,,
660,955,615,820,435,915,,,,,,
570,1235,600,970,575,1080,,,,,,
630,1250,490,990,995,1265,,,,,,
720,1215,540,1110,570,1230,,,,,,
725,805,450,900,510,1103,,,,,,
510,1160,615,1065,523,820,,,,,,
1142,645,530,925,880,1010,,,,,,
1100,865,780,1020,777,1321,,,,,,
1190,1080,410,840,730,958,,,,,,
540,1385,840,1090,855,945,,,,,,
420,1020,600,830,1080,1185,,,,,,
1125,885,420,615,1175,1380,,,,,,
720,990,551,753,517,917,,,,,,
645,905,660,792,735,935,,,,,,
600,740,540,1080,700,990,,,,,,
675,620,530,1095,685,1290,,,,,,
675,890,585,1170,555,940,,,,,,
1110,822,660,750,630,725,,,,,,
1080,870,540,675,765,1035,,,,,,
495,1000,405,590,992,1195,,,,,,
505,960,585,870,950,1050,,,,,,
480,995,600,1080,560,950,,,,,,
630,765,495,915,545,945,,,,,,
1140,655,464,847,595,1065,,,,,,
465,497,510,925,1100,1320,,,,,,
660,750,500,890,655,770,,,,,,
540,725,520,1095,1080,1360,,,,,,
790,1045,540,735,850,1142,,,,,,
600,1035,465,660,1050,1150,,,,,,
690,1080,525,660,540,910,,,,,,
660,870,495,915,915,1105,,,,,,
600,1385,690,915,535,1095,,,,,,
450,1035,510,720,1020,1060,,,,,,
600,1135,510,890,550,650,,,,,,
765,790,840,1120,780,800,,,,,,
870,1195,505,815,795,1080,,,,,,
800,696,480,705,1173,1439,,,,,,
555,620,600,1125,660,1080,,,,,,
630,1065,510,1005,700,910,,,,,,
1061,465,510,860,810,1200,,,,,,
325,1080,540,690,540,755,,,,,,
720,1040,615,1020,845,1245,,,,,,
525,1040,525,1005,695,810,,,,,,
570,1030,690,1260,990,1365,,,,,,
600,950,450,900,780,892,,,,,,
710,1375,490,900,895,1020,,,,,,
1140,985,565,725,570,955,,,,,,
450,430,465,780,735,1215,,,,,,
660,1090,595,835,850,1030,,,,,,
870,785,600,900,710,950,,,,,,
495,533,585,710,735,1115,,,,,,
630,1232,495,1030,700,1395,,,,,,
540,720,630,1170,910,955,,,,,,
905,470,620,860,790,1150,,,,,,
1210,1005,645,765,745,773,,,,,,
960,905,510,910,650,1085,,,,,,
510,1170,450,1020,547,763,,,,,,
810,905,720,755,978,1317,,,,,,
550,675,710,1215,735,990,,,,,,
500,675,1010,1110,725,965,,,,,,
900,1110,495,725,660,1035,,,,,,
435,1035,415,1090,755,1260,,,,,,
410,920,840,1015,643,1265,,,,,,
690,1030,540,575,1060,1422,,,,,,
445,510,480,990,1253,1319,,,,,,
720,1218,750,1080,810,1040,,,,,,
495,790,720,990,980,1055,,,,,,
600,710,525,780,650,1035,,,,,,
1080,1055,480,580,750,870,,,,,,
645,675,510,1150,873,955,,,,,,
570,1185,595,760,692,956,,,,,,
540,675,540,675,465,1010,,,,,,
540,1050,970,1045,690,1005,,,,,,
1110,1130,510,910,870,1216,,,,,,
725,1220,670,908,460,1290,,,,,,
630,1030,580,840,690,970,,,,,,
600,1375,690,1160,392,640,,,,,,
485,600,730,970,560,945,,,,,,
1065,615,615,660,566,645,,,,,,
560,500,495,1075,660,860,,,,,,
420,1092,510,810,560,690,,,,,,
810,670,570,750,1100,1230,,,,,,
1035,980,635,1135,765,1080,,,,,,
600,900,630,1140,625,903,,,,,,
660,695,480,840,600,1065,,,,,,
660,1155,420,585,548,950,,,,,,
970,885,495,900,670,1100,,,,,,
960,570,630,1020,640,946,,,,,,
570,752,750,1225,615,950,,,,,,
1080,740,870,1075,540,980,,,,,,
660,635,675,812,675,1045,,,,,,
600,1275,1065,1185,835,1225,,,,,,
870,585,645,1035,540,965,,,,,,
510,845,510,1110,480,900,,,,,,
681,1170,500,935,510,925,,,,,,
600,1280,615,1080,495,910,,,,,,
420,1070,450,860,950,1395,,,,,,
880,1185,810,1125,1110,1217,,,,,,
810,840,570,1215,482,639,,,,,,
660,1132,430,495,550,950,,,,,,
300,850,510,762,670,1025,,,,,,
345,930,765,830,690,950,,,,,,
510,1375,470,955,500,540,,,,,,
525,1085,620,750,965,1030,,,,,,
660,1035,465,705,700,940,,,,,,
495,1190,570,750,575,740,,,,,,
810,705,1075,1255,710,1020,,,,,,
520,840,915,1095,760,975,,,,,,
950,865,630,995,965,1060,,,,,,
600,670,520,1020,920,1120,,,,,,
1110,615,510,900,695,1010,,,,,,
600,560,480,1240,625,920,,,,,,
1080,905,480,905,540,970,,,,,,
810,661,520,925,1040,1225,,,,,,
510,1175,615,825,895,1310,,,,,,
780,895,520,930,725,1118,,,,,,
340,616,600,780,550,945,,,,,,
720,915,630,975,665,733,,,,,,
615,1015,570,1019,890,1120,,,,,,
840,1180,450,1140,870,1110,,,,,,
930,1055,840,1100,635,950,,,,,,
360,780,560,895,815,1440,,,,,,
520,1180,525,1005,540,935,,,,,,
840,1110,525,945,555,925,,,,,,
675,1120,600,960,785,1070,,,,,,
670,1035,525,895,540,945,,,,,,
465,790,720,795,520,930,,,,,,
480,1090,520,915,630,1075,,,,,,
510,1278,510,885,542,1040,,,,,,
1110,1175,535,810,550,1055,,,,,,
960,765,748,1080,660,945,,,,,,
930,1020,595,780,758,1350,,,,,,
1200,650,535,905,550,945,,,,,,
690,600,346,942,585,945,,,,,,
1075,1140,525,920,980,1125,,,,,,
585,1210,780,980,805,1155,,,,,,
615,755,500,1005,685,1000,,,,,,
750,1205,660,960,685,1080,,,,,,
600,675,585,1125,510,920,,,,,,
780,730,480,675,840,1035,,,,,,
390,910,520,900,980,1170,,,,,,
1050,270,525,905,500,950,,,,,,
480,685,495,880,680,1310,,,,,,
840,902,960,1080,560,955,,,,,,
780,650,470,1075,425,900,,,,,,
510,685,660,870,885,1190,,,,,,
825,1107,480,1080,520,985,,,,,,
870,870,510,870,532,705,,,,,,
556,1025,525,885,755,960,,,,,,
520,1015,700,1035,705,1275,,,,,,
710,1320,615,1110,1065,1120,,,,,,
710,1000,850,1050,554,1110,,,,,,
570,979,630,1020,1095,1205,,,,,,
1120,670,510,1110,680,1010,,,,,,
720,855,510,600,570,720,,,,,,
975,905,500,860,860,960,,,,,,
675,1087,510,870,825,1380,,,,,,
550,979,510,900,687,937,,,,,,
840,965,525,910,1075,1210,,,,,,
735,1040,570,815,942,970,,,,,,
480,1220,690,1100,540,950,,,,,,
1090,870,536,890,1176,1297,,,,,,
1100,685,705,840,1185,1307,,,,,,
515,785,450,940,552,1079,,,,,,
570,1025,510,1020,555,1020,,,,,,
1080,735,660,1075,725,885,,,,,,
450,1130,675,1050,615,765,,,,,,
540,1050,490,975,600,1035,,,,,,
900,1090,975,1110,605,1020,,,,,,
870,920,780,1165,855,925,,,,,,
600,1140,590,855,540,795,,,,,,
525,1197,540,660,540,910,,,,,,
1020,1260,480,985,1030,1210,,,,,,
660,1020,480,875,595,930,,,,,,
850,857,510,895,585,945,,,,,,
970,620,600,855,960,1100,,,,,,
440,1045,710,1020,935,1305,,,,,,
990,685,615,820,690,1045,,,,,,
780,1320,820,930,785,940,,,,,,
727,900,600,1180,660,795,,,,,,
600,1190,610,1080,725,1311,,,,,,
780,1020,510,915,970,1410,,,,,,
940,1170,600,1080,1065,1300,,,,,,
530,780,535,920,510,960,,,,,,
495,655,460,1095,620,945,,,,,,
450,860,990,1110,1080,1415,,,,,,
1095,920,345,495,612,695,,,,,,
815,780,525,1065,617,1076,,,,,,
1084,1352,810,1105,765,1130,,,,,,
600,1360,600,1020,705,1065,,,,,,
480,1330,780,855,600,880,,,,,,
330,665,765,1020,580,925,,,,,,
825,900,620,750,605,990,,,,,,
720,750,1000,1110,805,1070,,,,,,
360,805,640,940,780,1410,,,,,,
1080,915,545,665,725,940,,,,,,
1165,1250,720,900,730,955,,,,,,
810,1130,600,720,735,955,,,,,,
780,1070,570,930,735,970,,,,,,
1150,515,610,1023,570,1010,,,,,,
600,905,500,870,465,1035,,,,,,
1146,1177,500,927,753,830,,,,,,
482,750,600,1100,1060,1235,,,,,,
410,1320,780,1065,840,1395,,,,,,
900,1040,900,1035,675,945,,,,,,
915,755,990,1310,825,970,,,,,,
480,590,725,920,875,1150,,,,,,
570,805,520,1075,555,980,,,,,,
480,670,540,870,665,1085,,,,,,
480,755,510,1155,945,1000,,,,,,
930,720,525,915,900,1410,,,,,,
790,630,495,870,880,1500,,,,,,
600,725,765,990,670,855,,,,,,
1130,875,590,1110,495,630,,,,,,
1230,975,735,1100,640,1000,,,,,,
630,1060,420,1095,640,700,,,,,,
910,1245,540,780,645,1090,,,,,,
435,1140,555,750,1015,1170,,,,,,
630,688,600,930,790,1015,,,,,,
660,1390,510,885,790,1045,,,,,,
630,385,480,1035,735,1055,,,,,,
705,815,710,1050,935,1173,,,,,,
1080,1080,870,1110,745,1265,,,,,,
720,740,450,900,585,995,,,,,,
750,740,465,1050,630,1185,,,,,,
480,855,515,930,1035,1270,,,,,,
500,1335,530,1080,545,845,,,,,,
540,970,570,985,680,900,,,,,,
1050,1215,660,960,715,1410,,,,,,
810,930,510,1080,725,1345,,,,,,
855,725,480,575,700,890,,,,,,
1210,1050,630,990,545,935,,,,,,
475,928,474,930,580,1160,,,,,,
1005,1520,500,1002,660,950,,,,,,
570,1030,735,927,800,1040,,,,,,
660,690,505,920,835,1245,,,,,,
735,848,500,890,715,867,,,,,,
630,1190,495,880,1090,1240,,,,,,
595,850,435,1130,805,1075,,,,,,
600,940,600,1005,972,1370,,,,,,
510,1265,520,875,511,885,,,,,,
1035,1080,510,780,630,990,,,,,,
1010,990,485,965,860,1300,,,,,,
885,540,515,870,730,1305,,,,,,
750,800,510,870,735,800,,,,,,
525,745,885,1140,792,885,,,,,,
990,620,520,900,685,965,,,,,,
840,1215,735,990,745,865,,,,,,
540,795,600,870,1200,1307,,,,,,
620,813,495,585,945,1115,,,,,,
630,700,680,900,656,1032,,,,,,
1140,1030,510,1065,783,923,,,,,,
660,810,897,1120,530,940,,,,,,
450,760,600,760,545,1055,,,,,,
510,675,520,900,725,1325,,,,,,
390,1310,510,885,580,950,,,,,,
420,820,530,905,680,1080,,,,,,
780,730,630,955,650,1020,,,,,,
1065,840,870,1090,545,800,,,,,,
705,945,525,1040,895,1110,,,,,,
525,1085,510,1050,940,1255,,,,,,
510,1145,580,690,1070,1415,,,,,,
630,725,600,1050,835,1105,,,,,,
540,1310,490,915,700,1305,,,,,,
740,715,540,980,690,1305,,,,,,
660,1065,640,718,555,935,,,,,,
480,1125,498,966,910,1275,,,,,,
1085,640,510,925,762,830,,,,,,
1090,970,690,905,715,1382,,,,,,
900,840,510,925,540,935,,,,,,
450,905,660,1065,540,940,,,,,,
660,895,585,1050,740,905,,,,,,
1080,715,600,870,837,1365,,,,,,
630,1010,510,870,436,1343,,,,,,
480,980,510,620,540,935,,,,,,
510,1020,510,900,970,1020,,,,,,
1005,705,510,720,960,1105,,,,,,
1165,1185,600,700,690,1000,,,,,,
495,795,700,950,795,1350,,,,,,
630,815,600,990,530,775,,,,,,
1135,855,540,890,620,950,,,,,,
1080,940,535,1170,680,860,,,,,,
495,1050,510,780,640,950,,,,,,
420,680,600,750,405,1240,,,,,,
960,747,675,760,750,975,,,,,,
430,910,1125,1215,1065,1150,,,,,,
615,700,450,735,690,1245,,,,,,
570,1070,465,780,760,990,,,,,,
580,730,630,1040,506,1256,,,,,,
780,550,630,1140,555,960,,,,,,
980,995,515,915,540,925,,,,,,
1055,770,912,980,740,1370,,,,,,
660,1200,570,1080,530,1033,,,,,,
1035,932,526,1020,652,1255,,,,,,
660,635,510,965,905,1080,,,,,,
510,1195,630,835,616,725,,,,,,
780,870,610,750,940,1320,,,,,,
720,1245,505,808,555,945,,,,,,
1125,990,600,870,670,935,,,,,,
705,1095,530,915,550,910,,,,,,
735,980,435,525,520,920,,,,,,
510,820,630,825,560,930,,,,,,
585,1125,450,915,670,1015,,,,,,
840,840,495,1065,785,1080,,,,,,
855,950,840,881,940,950,,,,,,
660,1005,460,555,650,1140,,,,,,
1040,945,420,1125,760,1085,,,,,,
510,1290,660,1080,1050,1268,,,,,,
765,975,585,1080,818,1265,,,,,,
405,757,600,980,660,900,,,,,,
1030,750,490,1155,650,795,,,,,,
515,1231,660,960,835,1280,,,,,,
750,780,480,1120,520,905,,,,,,
630,1167,600,1250,975,1120,,,,,,
530,1110,480,1105,825,910,,,,,,
600,1010,540,1080,685,1035,,,,,,
555,1260,520,910,793,1065,,,,,,
720,1025,460,920,720,885,,,,,,
720,1275,555,780,870,1110,,,,,,
600,840,500,962,720,1210,,,,,,
740,1135,510,980,530,940,,,,,,
735,1090,555,1200,993,1395,,,,,,
480,645,600,894,660,1110,,,,,,
900,745,530,900,546,927,,,,,,
595,915,530,900,1030,1190,,,,,,
420,795,510,1110,425,1060,,,,,,
990,830,810,990,686,970,,,,,,
600,1065,800,875,560,1100,,,,,,
690,1140,465,585,1023,1140,,,,,,
480,1120,510,910,635,1085,,,,,,
840,860,420,605,840,1015,,,,,,
547,1020,600,830,930,1045,,,,,,
510,845,490,850,645,900,,,,,,
1115,523,780,1005,540,960,,,,,,
970,990,510,895,1105,1155,,,,,,
570,895,450,1135,658,1068,,,,,,
660,895,580,760,655,1015,,,,,,
825,1125,630,870,880,980,,,,,,
660,830,420,620,800,1060,,,,,,
645,850,570,990,728,1056,,,,,,
847,1035,580,930,675,1170,,,,,,
660,960,500,865,518,933,,,,,,
600,705,480,1080,1010,1225,,,,,,
360,705,510,885,1050,1230,,,,,,
495,930,550,930,960,1095,,,,,,
585,800,1050,1280,1020,1340,,,,,,
570,1270,555,780,860,1095,,,,,,
1200,1335,540,920,700,980,,,,,,
630,522,510,600,960,1218,,,,,,
660,685,910,1075,560,945,,,,,,
420,850,870,1080,555,930,,,,,,
410,645,570,1160,880,1131,,,,,,
1105,950,360,505,895,1145,,,,,,
690,1215,420,915,780,1200,,,,,,
490,1025,510,865,675,960,,,,,,
675,710,1050,1230,645,865,,,,,,
600,718,630,720,750,960,,,,,,
1080,1055,500,1020,945,988,,,,,,
300,1080,780,1130,555,950,,,,,,
540,980,345,1155,695,1080,,,,,,
960,1020,660,811,750,1140,,,,,,
480,650,510,870,1020,1270,,,,,,
610,1060,510,900,935,1105,,,,,,
636,970,525,990,540,965,,,,,,
1170,880,495,870,555,1105,,,,,,
960,615,740,960,795,970,,,,,,
1020,875,470,1110,790,1335,,,,,,
570,1010,930,1040,960,1095,,,,,,
690,960,1230,1590,770,985,,,,,,
1110,1130,520,900,745,1200,,,,,,
840,902,540,805,743,1438,,,,,,
450,1120,465,1065,740,945,,,,,,
540,1114,645,860,570,990,,,,,,
360,1391,660,1105,655,795,,,,,,
495,1190,510,915,690,1050,,,,,,
1020,795,530,880,515,970,,,,,,
830,430,600,1140,516,1016,,,,,,
570,1150,640,937,685,910,,,,,,
1065,1240,710,960,900,965,,,,,,
810,925,510,790,515,931,,,,,,
1055,1185,510,860,515,915,,,,,,
390,1050,540,660,570,970,,,,,,
540,1030,570,810,710,992,,,,,,
570,935,530,645,630,1030,,,,,,
510,1175,945,1125,549,929,,,,,,
445,1270,460,870,560,830,,,,,,
990,1030,465,730,960,1025,,,,,,
600,780,465,1110,525,920,,,,,,
540,875,480,620,560,935,,,,,,
525,910,600,885,945,1440,,,,,,
555,870,890,1080,545,925,,,,,,
545,850,520,645,790,1060,,,,,,
750,1305,715,870,695,965,,,,,,
705,1292,1060,1130,1025,1435,,,,,,
605,690,540,595,515,695,,,,,,
540,988,600,1075,775,930,,,,,,
510,1105,690,1050,835,1090,,,,,,
810,1245,1005,1080,640,1205,,,,,,
885,585,600,900,550,930,,,,,,
430,443,660,1050,550,955,,,,,,
600,825,785,885,675,980,,,,,,
540,680,600,1140,1145,1332,,,,,,
510,980,780,930,935,1190,,,,,,
435,960,530,755,810,1265,,,,,,
690,1500,810,1030,625,1332,,,,,,
980,925,630,900,675,900,,,,,,
460,1110,450,510,610,970,,,,,,
400,760,675,870,730,991,,,,,,
490,1220,730,1010,520,950,,,,,,
570,990,575,990,730,940,,,,,,
540,945,300,1170,528,955,,,,,,
700,1275,860,1140,725,1230,,,,,,
755,1255,480,850,770,942,,,,,,
480,1045,480,640,560,976,,,,,,
525,1010,525,650,555,1110,,,,,,
1110,1090,510,915,530,930,,,,,,
1140,790,645,996,555,1005,,,,,,
540,1060,600,630,975,1130,,,,,,
1110,741,600,760,780,1275,,,,,,
955,625,620,1010,665,770,,,,,,
510,705,510,800,855,1270,,,,,,
1155,555,480,910,900,1030,,,,,,
1050,990,510,912,815,925,,,,,,
885,1085,720,840,670,870,,,,,,
1040,1055,470,720,740,1035,,,,,,
370,835,510,935,1040,1245,,,,,,
720,1020,450,885,1145,1380,,,,,,
750,1081,520,957,680,810,,,,,,
1080,905,585,700,870,1240,,,,,,
1200,660,630,1100,840,1240,,,,,,
1030,695,530,920,715,1225,,,,,,
720,710,575,720,765,960,,,,,,
1070,1155,515,915,600,870,,,,,,
630,695,420,630,960,1065,,,,,,
750,1170,460,1060,933,1003,,,,,,
1160,985,515,905,930,1335,,,,,,
720,1050,495,630,715,1125,,,,,,
405,1170,690,1324,765,1355,,,,,,
630,920,480,795,700,840,,,,,,
510,595,435,780,522,822,,,,,,
495,690,720,840,750,945,,,,,,
450,1065,440,1035,900,968,,,,,,
845,1101,600,940,810,965,,,,,,
480,845,540,780,453,537,,,,,,
540,1265,570,1125,1035,1150,,,,,,
620,879,615,795,880,960,,,,,,
870,1200,510,570,515,735,,,,,,
600,1115,1065,1340,675,1180,,,,,,
770,988,495,900,785,1445,,,,,,
840,780,540,1050,620,1005,,,,,,
525,1078,520,880,710,1170,,,,,,
1140,820,495,910,360,1100,,,,,,
570,672,315,1054,770,1268,,,,,,
650,1080,525,680,960,1130,,,,,,
520,1020,690,850,890,1010,,,,,,
420,1180,465,870,758,930,,,,,,
990,1100,450,1080,580,1080,,,,,,
450,1335,690,855,930,1080,,,,,,
600,745,620,1110,705,890,,,,,,
780,555,580,693,520,1080,,,,,,
570,1310,510,840,930,1000,,,,,,
525,1250,523,970,655,1090,,,,,,
905,530,740,1125,1050,1355,,,,,,
1085,990,495,910,435,1320,,,,,,
630,570,470,875,545,940,,,,,,
510,1110,495,840,955,1320,,,,,,
790,990,480,855,840,1290,,,,,,
630,650,1020,1260,1170,1215,,,,,,
570,660,520,585,650,950,,,,,,
710,860,541,686,525,640,,,,,,
630,1060,505,820,665,1025,,,,,,
645,1095,630,990,750,1240,,,,,,
970,1065,570,760,1088,1380,,,,,,
675,1290,510,1160,830,1065,,,,,,
570,1273,510,899,960,1100,,,,,,
780,1113,470,1170,645,930,,,,,,
830,720,780,925,1020,1240,,,,,,
1110,555,510,910,545,890,,,,,,
600,1040,690,1065,870,1170,,,,,,
1110,860,965,1140,455,670,,,,,,
585,1295,740,930,755,982,,,,,,
510,870,675,850,515,940,,,,,,
840,835,660,920,1000,1160,,,,,,
540,517,550,860,535,930,,,,,,
600,1290,920,1050,869,1045,,,,,,
855,890,490,885,1245,1320,,,,,,
540,1060,500,850,755,930,,,,,,
1010,750,500,900,550,1160,,,,,,
1080,960,840,960,530,780,,,,,,
540,805,510,930,900,945,,,,,,
555,1150,480,1080,1075,1180,,,,,,
720,950,490,900,750,1245,,,,,,
1020,1395,540,720,510,960,,,,,,
660,1135,465,750,540,930,,,,,,
455,820,900,1110,1200,1380,,,,,,
570,1020,525,915,655,1093,,,,,,
660,697,510,895,930,1145,,,,,,
546,717,480,1140,805,1350,,,,,,
570,938,580,950,1070,1170,,,,,,
630,1085,500,890,810,1380,,,,,,
840,1215,600,855,540,930,,,,,,
585,1217,480,660,605,1230,,,,,,
645,970,345,465,525,1265,,,,,,
1230,1100,450,1145,960,995,,,,,,
525,1190,720,1075,635,1235,,,,,,
730,969,830,1140,1035,1095,,,,,,
1205,795,520,915,1305,1606,,,,,,
1035,855,525,920,720,965,,,,,,
815,1050,535,1015,1020,1175,,,,,,
975,1065,545,810,725,1145,,,,,,
540,770,750,975,540,945,,,,,,
540,1005,540,1080,670,1005,,,,,,
1122,1126,570,725,825,1420,,,,,,
1050,630,540,780,1088,1380,,,,,,
