Once_DEPTIME,Once_ARRTIME,Twice_1st_DEPTIME,Twice_2nd_DEPTIME,Twice_1st_ARRTIME,Twice_2nd_ARRTIME,Three_1st_DEPTIME,Three _2nd_DEPTIME,Three_3rd_DEPTIME,Three_1st_ARRTIME,Three _2nd_ARRTIME,Three_3rd_ARRTIME
1080,1226,500,1210,740,975,820,1015,1125,659,757,1087
600,880,455,615,543,930,565,745,990,538,712,863
1140,1050,645,810,535,700,510,870,1140,749,1080,1170
1100,905,540,795,685,965,920,1130,1220,738,1040,1265
1215,795,660,900,680,1110,540,710,1230,910,965,1290
540,765,500,810,790,915,410,1005,1185,995,1110,1350
1230,1200,515,905,570,940,630,800,980,475,815,980
510,740,510,570,560,950,905,1005,1106,645,1250,1325
695,1122,500,1070,1110,1220,570,780,1095,650,1090,1125
660,535,630,1019,985,1085,575,618,750,880,1055,1245
465,1195,535,1030,657,1023,505,535,900,584,766,1030
660,1045,690,1035,546,1115,610,908,1128,945,1160,1245
590,995,1035,1365,805,1095,570,1100,1250,640,1120,1305
630,1410,555,855,640,910,525,730,950,430,1065,1210
390,875,540,920,580,1005,450,690,1000,775,840,1000
850,675,530,1045,560,945,570,720,825,975,1105,1160
515,1320,660,1020,545,950,510,675,900,595,825,1110
1185,1015,630,1010,705,1080,450,690,985,615,718,1003
500,1185,540,760,675,1020,635,1050,1110,515,690,940
1330,900,510,900,625,880,730,830,995,827,1123,1178
615,900,510,890,790,1060,480,840,1025,700,1250,1300
570,720,500,850,640,920,489,805,995,770,1060,1355
480,750,500,860,660,1030,530,795,1075,660,755,1545
1020,785,465,1020,570,1025,520,920,1055,465,770,1020
1200,1085,530,1080,565,1080,515,920,1015,660,820,852
510,990,540,1050,540,945,480,705,750,540,742,938
470,740,495,885,635,1055,425,870,960,490,960,1023
540,1005,610,1035,580,1060,407,790,1007,695,1075,1140
600,655,480,960,590,805,470,825,920,820,988,1070
810,1060,520,660,595,850,660,710,805,550,840,1030
600,820,510,975,570,1050,520,620,805,655,945,1210
480,1270,600,900,765,990,570,720,1050,555,935,1070
905,1080,630,880,803,901,400,1078,1307,530,750,910
975,1350,525,900,1122,1178,570,1015,1155,540,1010,1115
490,640,1050,1160,1060,1342,780,1080,1170,720,930,1040
715,870,495,1125,630,1180,480,795,885,412,872,1260
405,650,600,1155,730,1090,495,580,930,853,987,1225
705,1155,680,980,900,1015,770,980,1160,780,855,940
300,1050,960,1080,790,1205,694,935,974,555,845,945
480,1265,600,880,770,955,390,480,750,700,775,915
550,665,525,1005,935,1095,460,840,990,550,700,835
630,1070,660,1020,575,700,790,908,1043,670,790,1215
660,1085,610,720,765,925,660,845,1095,784,1092,1326
660,700,465,840,610,730,625,895,1110,870,1110,1260
660,1005,540,710,580,955,480,870,1005,805,1095,1260
660,1310,510,910,541,1275,490,930,1020,560,870,940
1020,615,480,1255,530,922,420,1140,1290,575,796,995
440,545,960,1170,533,950,505,600,1065,935,1000,1280
1290,1008,520,910,535,975,512,746,915,646,955,1029
390,945,510,1080,940,1105,510,580,960,765,935,1010
625,900,530,880,665,940,630,705,955,510,960,1115
340,525,510,975,960,1120,990,1035,1245,875,951,1148
900,835,660,680,675,695,560,690,840,700,885,1380
422,1150,465,1200,480,1100,675,825,930,729,956,1305
930,1035,725,1080,468,1350,480,855,960,510,930,1068
1235,1320,840,1080,600,1220,510,541,900,545,985,1240
660,720,540,930,751,1175,615,760,1005,990,1280,1440
420,780,920,1070,980,1130,627,660,1090,590,750,1220
700,1055,555,1005,730,1030,410,550,840,560,805,947
810,775,480,1080,1000,1240,510,700,890,555,750,1005
460,705,685,1065,595,1045,520,690,900,665,825,1305
430,790,480,750,620,1206,660,1020,1080,1025,1080,1275
430,810,495,920,757,1155,525,640,1230,640,797,925
780,1055,917,1140,495,785,570,645,900,500,930,1080
580,1050,465,1050,570,945,550,730,900,528,780,942
840,1020,510,915,820,1026,600,860,980,700,995,1290
650,1310,560,750,1095,1170,500,560,905,685,864,1160
430,710,480,1078,472,1067,720,920,1080,705,1005,1085
575,655,540,975,530,946,653,713,890,540,737,1040
505,1030,690,1140,565,995,520,860,960,580,730,920
510,940,540,690,765,1170,720,825,1170,550,770,935
465,785,500,895,640,750,525,920,1020,800,1040,1105
510,1095,405,1010,520,917,480,535,810,543,655,1265
890,950,600,940,735,985,510,650,910,960,1150,1202
540,1275,330,510,1040,1092,690,885,1095,602,705,934
725,676,520,910,560,960,895,1230,1315,595,825,940
630,1065,530,825,785,1415,630,900,1050,735,910,1030
585,750,540,1080,580,850,535,810,1065,540,605,959
720,905,945,1310,1020,1215,525,713,1065,840,950,1440
820,1083,485,865,970,1330,600,780,1125,710,730,1007
570,1025,510,950,580,1065,555,640,900,930,953,1205
600,1060,600,685,640,1090,655,810,921,550,920,1355
360,1100,945,1140,571,900,375,725,1080,795,1030,1290
1155,1050,981,1125,725,935,465,900,1140,640,960,1085
545,910,525,590,620,1365,900,1050,1360,665,1010,1395
660,900,500,915,525,805,690,990,1290,510,545,960
585,1062,675,960,658,755,360,930,1410,575,695,951
485,810,525,770,1024,1440,405,1160,1400,735,1003,1225
570,930,960,1200,1000,1191,630,870,1180,1095,1265,1355
860,975,610,858,560,720,490,690,900,670,975,1125
630,520,505,900,698,848,570,870,930,665,945,1410
330,1060,630,1040,510,925,480,690,970,700,950,1440
465,570,450,545,638,1310,630,690,1110,565,970,1125
1120,692,570,795,906,1620,450,720,1020,735,870,1175
745,677,555,900,650,870,495,720,1245,720,990,1310
590,930,570,1050,715,748,515,780,940,740,990,1100
630,615,560,845,660,928,475,1000,1080,755,900,1090
540,1005,590,785,542,937,640,885,1025,1005,1110,1420
630,1245,600,920,800,1130,525,775,930,760,1040,1320
570,1051,345,1330,492,658,510,755,1000,950,1110,1240
645,1380,470,1190,1000,1245,980,1010,1183,575,795,970
510,755,530,1030,720,975,510,720,925,825,950,1169
580,675,510,895,685,1120,660,1050,1210,710,915,1050
1140,1095,550,820,780,1070,525,745,860,491,790,1110
1125,635,430,900,715,890,510,1035,1080,670,880,1135
1170,1290,570,1000,585,1460,745,930,965,475,885,1200
