,config_2_opportunistic
investment_cost,1600.0
p_peak_increase,0.0
papr,2.3603
avg_soc_t_dep_percent,91.769
avg_soc_to_max_deviation,8.230999999999995
soc_range,46.14243189679902
lowest_soc,53.85756810320098
num_cp,8.0
p_cp_rated,2.4
avg_num_charging_days,6.4
economic,1.0
technical,1.0
social,1.0
normalised_objective,1248.3323473257171
norm_economic,9.96314913278627
norm_technical,7.227500859046581
norm_social,9.989361490441532
total_objective_value,1248.3323473257171
economic_objective,386.8412787911962
technical_objective,244.29480859095077
social_objective,617.1962599435701
mip_gap,2.9291422004749634
