,config_2_opportunistic
investment_cost,800.0
p_peak_increase,0.0
papr,2.4281
avg_soc_t_dep_percent,95.5414
avg_soc_to_max_deviation,4.458600000000004
soc_range,26.27179103167599
lowest_soc,73.72820896832401
num_cp,4.0
p_cp_rated,2.4
avg_num_charging_days,6.3
economic,1.0
technical,1.0
social,1.0
normalised_objective,1043.7868947125178
norm_economic,3.2137840550208345
norm_technical,5.089209715564479
norm_social,2.547667348438147
total_objective_value,1043.7868947125178
economic_objective,297.780800286951
technical_objective,220.35667984118376
social_objective,525.649414584383
mip_gap,3.347805194587338
