,config,strategy,model,version,wait_time
63,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
64,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
65,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
66,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
67,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
68,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
69,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
70,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
71,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
72,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
73,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
74,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
75,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
76,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
77,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
78,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
79,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
80,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
81,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
82,Config 1,Uncoordinated,Config 1 - Uncoordinated Charging,norm_w_sum,0.0
83,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,29.5
84,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,7.5
85,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,54.75
86,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,30.5
87,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,7.0
88,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,
89,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,
90,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,
91,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,4.0
92,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,3.75
93,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,5.75
94,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,5.75
95,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,6.5
96,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,
97,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,
98,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,25.75
99,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,2.75
100,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,4.75
101,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,1.0
102,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,3.75
103,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,
104,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,
105,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,4.0
106,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,7.0
107,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,2.25
108,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,7.75
109,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,4.5
110,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,8.5
111,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,0.25
112,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,0.25
113,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,
114,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,4.25
115,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,6.25
116,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,8.5
117,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,6.0
118,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,15.25
119,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,0.25
120,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,0.25
121,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,3.5
122,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,0.25
123,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,
124,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,1.0
125,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,5.0
126,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,5.75
127,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,5.5
