config,strategy,model,version,ev_id,arrival_time,charge_start_time,wait_time,soc_before_charging,config_num
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-24 16:30:00,2022-02-24 16:30:00,0.0,90.69630071658887,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-25 07:30:00,2022-02-25 07:30:00,0.0,86.3761387891721,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-26 13:00:00,2022-02-26 13:00:00,0.0,87.89333582206164,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-26 16:15:00,2022-02-26 16:15:00,0.0,84.88777281760837,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-26 23:45:00,2022-02-26 23:45:00,0.0,86.790671287448,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-27 16:00:00,2022-02-27 16:00:00,0.0,83.34324137196188,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-27 22:00:00,2022-02-27 22:00:00,0.0,76.33970455493238,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,5,2022-02-21 21:15:00,2022-02-21 21:15:00,0.0,29.69871601898422,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,5,2022-02-22 17:00:00,2022-02-22 17:00:00,0.0,50.46929239218716,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,5,2022-02-23 18:00:00,2022-02-23 18:00:00,0.0,84.44930467089146,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,5,2022-02-24 17:30:00,2022-02-24 17:30:00,0.0,86.31386421965927,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,5,2022-02-25 17:15:00,2022-02-25 17:15:00,0.0,89.53048700424524,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,5,2022-02-26 16:00:00,2022-02-26 16:00:00,0.0,85.48346994351198,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,5,2022-02-26 22:00:00,2022-02-26 22:00:00,0.0,78.17320384401567,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,5,2022-02-27 13:30:00,2022-02-27 13:30:00,0.0,89.79166253474646,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,6,2022-02-21 19:00:00,2022-02-21 19:00:00,0.0,46.13158297036774,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,6,2022-02-22 17:30:00,2022-02-22 17:30:00,0.0,72.6857561150739,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,6,2022-02-23 17:30:00,2022-02-23 17:30:00,0.0,85.59976641651771,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,6,2022-02-24 17:30:00,2022-02-24 17:30:00,0.0,85.5554514926014,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,6,2022-02-25 18:15:00,2022-02-25 18:15:00,0.0,77.6552282351992,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,6,2022-02-26 13:30:00,2022-02-26 13:30:00,0.0,83.52110309530222,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,6,2022-02-27 13:15:00,2022-02-27 13:15:00,0.0,83.17319496387084,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,6,2022-02-27 16:00:00,2022-02-27 16:00:00,0.0,80.21027381588758,1
