,investment_cost,avg_p_peak,avg_papr,avg_daily_peak_increase,total_cost_per_user,avg_soc_t_dep_percent,lowest_soc_percent,highest_soc_percent,soc_range,num_cp,p_cp_rated,avg_num_charging_days,economic_weight,technical_weight,social_weight,objective_value,mip_gap
config_1_flexible,2000.0,16.584066778424166,2.0306101491361743,1.033887926959856,30.451601834902796,63.04202572908342,22.978429612134104,99.99999999999999,77.02157038786588,10.0,1.3,3.5,1.0,0.0,0.0,4215.106649625589,1.0788513522590398e-13
config_1_flexible,2000.0,16.324546946107493,1.9902579396522455,1.0183646087981133,30.994630260439532,87.46376817003005,45.60047335698688,100.0,54.39952664301312,10.0,2.4,3.4,0.9,0.0,0.1,3876.6539471268957,0.0
config_1_flexible,2000.0,16.071188034285676,1.9592647907826084,0.9999999999999979,30.85696272375508,87.05538538403808,45.60047335698688,100.0,54.39952664301312,10.0,2.4,3.5,0.8,0.1,0.1,3475.0114242515956,0.0
config_1_flexible,2000.0,16.326564931944826,1.9760043490301307,1.0179329465574043,32.6660882301897,89.90212177895025,45.60047335698688,100.0,54.39952664301312,10.0,2.4,3.4,0.8,0.0,0.2,3527.6548779292816,0.0
config_1_flexible,2000.0,16.071188034285694,1.9596962676072844,0.999999999999999,30.794160532372814,86.5269160872011,45.60047335698688,100.0,54.39952664301312,10.0,2.4,3.4,0.7000000000000001,0.2,0.1,3073.007232049355,0.0
config_1_flexible,2000.0,16.09365604176009,1.9484578117991769,1.0019900159321644,32.546205270019364,89.56549293613901,45.60047335698688,100.0,54.39952664301312,10.0,2.4,3.5,0.7000000000000001,0.1,0.2,3126.562467578028,0.0
config_1_flexible,2000.0,16.446900754806926,1.9809012448074437,1.0254476119460896,33.63157007191749,90.67408041634077,45.60047335698688,100.0,54.39952664301312,10.0,2.4,3.4,0.7000000000000001,0.0,0.3,3169.496045495976,7.173811614825711e-14
config_1_flexible,2000.0,16.071188034285676,1.9578018998521574,0.999999999999998,30.96942015052722,86.88944496375373,45.60047335698688,100.0,54.39952664301312,10.0,2.4,3.4,0.6000000000000001,0.30000000000000004,0.1,2670.706960438011,0.0
config_1_flexible,2000.0,16.09365604176007,1.9496821662134405,1.0019900159321635,32.38319202828665,89.58446582349183,45.60047335698688,100.0,54.39952664301312,10.0,2.4,3.5,0.6000000000000001,0.2,0.2,2724.932474436456,0.0
config_1_flexible,2000.0,16.09365604176009,1.939013022641765,1.0019900159321644,33.66870872043493,91.10750865049117,45.60047335698688,100.0,54.39952664301312,10.0,2.4,3.5,0.6000000000000001,0.1,0.3,2768.534256546683,0.0
