,value
Charging point info,5 CPs (2.40 kW)
Investment cost,"$1,000.00"
Peak demand increase,0.00%
PAPR,2.34
Average SOC at dep time,93.02%
Lowest SOC at dep time,64.80%
SOC min-max range,35.20%
Average num of charging days,6.60
Optimality gap,2.6690%
Economic objective,326.69
Technical objective,292.25
Social objective,576.55
