,value
investment_cost,600.0
p_peak_increase,0.0
papr,2.4286
avg_soc_t_dep_percent,95.2162
avg_soc_to_max_deviation,4.783799999999999
soc_range,26.27179103167596
lowest_soc,73.72820896832404
num_cp,3.0
p_cp_rated,2.4
avg_num_charging_days,6.4
economic,1.0
technical,1.0
social,1.0
total_objective_value,
economic_objective,276.9668450311858
technical_objective,234.68166240327426
social_objective,528.1900264599525
mip_gap,2.962788133773525
