,config_2_opportunistic
investment_cost,1600.0
p_peak_increase,0.0
papr,2.3612
avg_soc_t_dep_percent,128.8427
avg_soc_to_max_deviation,-28.842700000000008
soc_range,74.40548243610017
lowest_soc,82.73737470675697
num_cp,8.0
p_cp_rated,2.4
avg_num_charging_days,6.7
economic,1.0
technical,1.0
social,1.0
normalised_objective,964.4069916881454
norm_economic,9.956700658489096
norm_technical,6.756215735312643
norm_social,-12.654672243029466
total_objective_value,964.4069916881454
economic_objective,386.7561886827324
technical_objective,239.01878057943256
social_objective,338.6320224259804
mip_gap,3.1639769297405125
