,value
Charging point info,4 CPs (2.40 kW)
Investment cost,$800.00
Peak demand increase,0.00%
PAPR,2.41
Average SOC at dep time,94.71%
Lowest SOC at dep time,73.24%
SOC min-max range,26.76%
Average num of charging days,6.50
Optimality gap,3.9156%
Economic objective,299.41
Technical objective,252.91
Social objective,265.14
