,value
investment_cost,1400.0
p_peak_increase,0.0
papr,2.3615
avg_soc_t_dep_percent,95.6568
avg_soc_to_max_deviation,4.343199999999996
soc_range,25.731163361931735
lowest_soc,74.26883663806827
num_cp,7.0
p_cp_rated,2.4
avg_num_charging_days,6.9
economic,1.0
technical,1.0
social,1.0
total_objective_value,
economic_objective,365.9663853950609
technical_objective,257.10513062748606
social_objective,338.94590621777365
mip_gap,2.9326393754705897
