,config_2_opportunistic
investment_cost,1600.0
p_peak_increase,0.0
papr,2.3603
avg_soc_t_dep_percent,91.6807
avg_soc_to_max_deviation,8.319299999999998
soc_range,45.70796818933699
lowest_soc,54.29203181066301
num_cp,8.0
p_cp_rated,2.4
avg_num_charging_days,6.4
economic,1.0
technical,1.0
social,1.0
normalised_objective,1246.6984219140288
norm_economic,9.96314913278626
norm_technical,7.121367079405973
norm_social,9.953126404344816
total_objective_value,1246.6984219140288
economic_objective,386.84127879119603
technical_objective,243.10664294312465
social_objective,616.7505001797081
mip_gap,2.840138846136752
