,value
Charging point info,5 CPs (2.40 kW)
Investment cost,"$1,000.00"
Peak demand increase,0.00%
PAPR,2.40
Average SOC at dep time,93.83%
Lowest SOC at dep time,64.83%
SOC min-max range,35.17%
Average num of charging days,6.20
Optimality gap,2.7487%
Economic objective,321.25
Technical objective,247.67
Social objective,549.58
