,config_2_opportunistic
investment_cost,1000.0
p_peak_increase,0.0
papr,2.458
avg_soc_t_dep_percent,94.537
avg_soc_to_max_deviation,5.462999999999994
soc_range,35.17333616682262
lowest_soc,64.82666383317738
num_cp,5.0
p_cp_rated,2.4
avg_num_charging_days,5.6
economic,1.0
technical,1.0
social,1.0
normalised_objective,1051.615888009822
norm_economic,4.595054985288489
norm_technical,4.082800442039558
norm_social,2.61833317619886
total_objective_value,1051.615888009822
economic_objective,316.00720359693
technical_objective,209.0899471336035
social_objective,526.5187372792884
mip_gap,2.8720638011553947
