,economic_active,technical_active,social_active,,,,,,
config_1_opportunistic,"{'economic_objective': 4215.106649625589, 'technical_objective': 262.83536022806885, 'social_objective': 1784.8345862574874}","{'economic_objective': 17217.44843444768, 'technical_objective': 163.3830737085036, 'social_objective': 1201.8112777947183}","{'economic_objective': 17259.90204917811, 'technical_objective': 341.59983717071606, 'social_objective': 494.30831075458633}",,,,,,
config_1_flexible,"{'economic_objective': 4215.106649625589, 'technical_objective': 302.3467650973162, 'social_objective': 1954.7774627919416}","{'economic_objective': 17216.682200504463, 'technical_objective': 165.3465867219506, 'social_objective': 1424.608531032554}","{'economic_objective': 17257.42122820171, 'technical_objective': 349.46058894634785, 'social_objective': 586.7497897142772}",,,,,,
config_2_opportunistic,"{'economic_objective': 2553.73678661189, 'technical_objective': 1106.581092070942, 'social_objective': 1696.1613974432569}","{'economic_objective': 15709.777201570967, 'technical_objective': 163.3830737085036, 'social_objective': 1201.8112777947183}","{'economic_objective': 15748.995985037749, 'technical_objective': 1290.3112580156057, 'social_objective': 494.3083107545863}",,,,,,
config_2_flexible,"{'economic_objective': 2553.7367866118734, 'technical_objective': 881.3008113277889, 'social_objective': 1733.1227523535613}","{'economic_objective': 15709.014602979456, 'technical_objective': 165.75706208504886, 'social_objective': 1487.07328074298}","{'economic_objective': 15758.705363038107, 'technical_objective': 1219.8878245246385, 'social_objective': 589.1816786011959}",,,,,,
config_3_opportunistic,"{'economic_objective': 2553.73678661189, 'technical_objective': 1036.6556271280729, 'social_objective': 1679.9929470988966}","{'economic_objective': 15709.525661175812, 'technical_objective': 163.456970349157, 'social_objective': 1264.213259334358}","{'economic_objective': 14242.399511240952, 'technical_objective': 1338.0490559198788, 'social_objective': 494.3083107545863}",,,,,,
config_3_flexible,"{'economic_objective': 2553.7367866118643, 'technical_objective': 674.7631632557453, 'social_objective': 1971.9830234911428}","{'economic_objective': 15709.010967627746, 'technical_objective': 165.51092022603208, 'social_objective': 1439.7018782790176}","{'economic_objective': 8210.520215802173, 'technical_objective': 1153.9820864663438, 'social_objective': 586.7497897142772}",,,,,,
