,economic_objective,norm_economic_objective,technical_objective,norm_technical_objective,social_objective,norm_social_objective
0,15759.254179192872,0.8979580107378726,1400.0000000000243,1.0527382158393628,607.1637925857123,0.07637279811169767
1,4257.865697300647,0.1158783596330142,1400.000000000009,1.05273821583935,648.5673088072249,0.10439225862826265
2,4257.865697300647,0.1158783596330142,1400.000000000009,1.05273821583935,648.5673088072249,0.10439225862826265
3,4257.865697300647,0.1158783596330142,1400.000000000009,1.05273821583935,648.5673088072249,0.10439225862826265
4,4257.865697300647,0.1158783596330142,1400.000000000009,1.05273821583935,648.5673088072249,0.10439225862826265
5,4257.865697300647,0.1158783596330142,1400.000000000009,1.05273821583935,648.5673088072249,0.10439225862826265
6,4258.00222223294,0.11588764315313722,1400.0000000000111,1.0527382158393515,648.5673088072209,0.10439225862825995
7,4258.00222223294,0.11588764315313722,1400.0000000000111,1.0527382158393515,648.5673088072209,0.10439225862825995
8,4258.442085460081,0.11591755328787946,1400.0000000000205,1.0527382158393597,650.9564817347717,0.10600911010900382
9,15758.689956003082,0.8979196442853254,1250.0000000000177,0.9250427779717006,602.8557360473748,0.0734573592529961
10,4258.402069499047,0.11591483225390227,1249.999999999983,0.925042777971671,650.956481734792,0.10600911010901755
11,4258.402069499047,0.11591483225390227,1249.999999999983,0.925042777971671,650.956481734792,0.10600911010901755
12,4258.402069499047,0.11591483225390227,1249.999999999983,0.925042777971671,650.956481734792,0.10600911010901755
13,4258.402069499047,0.11591483225390227,1249.999999999983,0.925042777971671,650.956481734792,0.10600911010901755
14,4258.402069499047,0.11591483225390227,1249.999999999983,0.925042777971671,650.956481734792,0.10600911010901755
15,4257.479286895628,0.11585208422155265,1249.9999999999777,0.9250427779716666,648.5673088072139,0.1043922586282552
16,4257.479286895628,0.11585208422155265,1249.9999999999777,0.9250427779716666,648.5673088072139,0.1043922586282552
17,4258.638503401402,0.11593090945572486,1249.999999999984,0.9250427779716721,648.5673088072264,0.10439225862826365
18,15757.378834591167,0.8978304897125536,1100.0000000000182,0.7973473401040445,606.9608694287932,0.07623547167418515
19,4258.212140651382,0.11590191733609469,1099.9999999999811,0.7973473401040131,651.1903206775432,0.10616735852899714
20,4258.212140651382,0.11590191733609469,1099.9999999999811,0.7973473401040131,651.1903206775432,0.10616735852899714
21,4258.212140651382,0.11590191733609469,1099.9999999999811,0.7973473401040131,651.1903206775432,0.10616735852899714
22,4258.212140651382,0.11590191733609469,1099.9999999999811,0.7973473401040131,651.1903206775432,0.10616735852899714
23,4258.212140651382,0.11590191733609469,1099.9999999999811,0.7973473401040131,651.1903206775432,0.10616735852899714
24,4258.598547614835,0.11592819251353419,1099.9999999999757,0.7973473401040083,648.5673088072131,0.10439225862825466
25,4258.598547614835,0.11592819251353419,1099.9999999999757,0.7973473401040083,648.5673088072131,0.10439225862825466
26,4259.119180985862,0.11596359491436664,1099.999999999971,0.7973473401040045,650.9564817347781,0.10600911010900814
27,15759.45987726788,0.8979719979428947,950.0000000000132,0.6696519022363839,602.8557360473748,0.07345735925299612
28,4257.007969456008,0.11582003524074322,949.999999999974,0.6696519022363505,648.5673088072173,0.10439225862825746
29,4257.007969456008,0.11582003524074322,949.999999999974,0.6696519022363505,648.5673088072173,0.10439225862825746
30,4257.007969456008,0.11582003524074322,949.999999999974,0.6696519022363505,648.5673088072173,0.10439225862825746
31,4257.007969456008,0.11582003524074322,949.999999999974,0.6696519022363505,648.5673088072173,0.10439225862825746
32,4257.007969456008,0.11582003524074322,949.999999999974,0.6696519022363505,648.5673088072173,0.10439225862825746
33,4257.007969456008,0.11582003524074322,949.999999999974,0.6696519022363505,648.5673088072173,0.10439225862825746
34,4257.007969456008,0.11582003524074322,949.999999999974,0.6696519022363505,648.5673088072173,0.10439225862825746
35,4257.103746682157,0.11582654796916107,949.999999999984,0.6696519022363591,648.567308807228,0.10439225862826472
36,15757.92650279531,0.8978677304473303,800.0000000000044,0.54195646436872,605.2876249342833,0.07510311837844938
37,4257.918641763705,0.11588195978853114,799.999999999993,0.5419564643687103,650.9564817347675,0.10600911010900096
38,4257.918641763705,0.11588195978853114,799.999999999993,0.5419564643687103,650.9564817347675,0.10600911010900096
39,4257.918641763705,0.11588195978853114,799.999999999993,0.5419564643687103,650.9564817347675,0.10600911010900096
40,4257.918641763705,0.11588195978853114,799.999999999993,0.5419564643687103,650.9564817347675,0.10600911010900096
41,4257.918641763705,0.11588195978853114,799.999999999993,0.5419564643687103,650.9564817347675,0.10600911010900096
42,4257.163632576668,0.11583062013310533,799.99999999998,0.5419564643686993,650.9564817347925,0.10600911010901791
43,4257.163632576668,0.11583062013310533,799.99999999998,0.5419564643686993,650.9564817347925,0.10600911010901791
44,4257.459472033489,0.11585073683636582,799.9999999999898,0.5419564643687076,650.9847282082592,0.1060282256581369
45,15756.716847785956,0.8977854754596684,650.0000000000008,0.4142610265010605,606.9608694287931,0.07623547167418512
46,4256.936832576668,0.11581519802427476,649.9999999999892,0.4142610265010507,648.5673088072261,0.1043922586282635
47,4256.936832576668,0.11581519802427476,649.9999999999892,0.4142610265010507,648.5673088072261,0.1043922586282635
48,4256.936832576668,0.11581519802427476,649.9999999999892,0.4142610265010507,648.5673088072261,0.1043922586282635
49,4256.936832576668,0.11581519802427476,649.9999999999892,0.4142610265010507,648.5673088072261,0.1043922586282635
50,4256.936832576668,0.11581519802427476,649.9999999999892,0.4142610265010507,648.5673088072261,0.1043922586282635
51,4256.710032576668,0.11579977591544417,649.9999999999886,0.4142610265010501,648.5673088072264,0.10439225862826364
