,config_2_opportunistic
investment_cost,800.0
p_peak_increase,0.0
papr,2.4092
avg_soc_t_dep_percent,72.7483
avg_soc_to_max_deviation,27.2517
soc_range,35.55957460627064
lowest_soc,50.15471110801507
num_cp,4.0
p_cp_rated,2.4
avg_num_charging_days,6.5
economic,1.0
technical,1.0
social,1.0
normalised_objective,811.3826905565604
norm_economic,3.337596513492473
norm_technical,7.5518890602029405
norm_social,-18.717989380455236
total_objective_value,811.3826905565604
economic_objective,299.41455348732194
technical_objective,247.92632834346722
social_objective,264.0418087257713
mip_gap,3.1527874115481245
