,config_2_opportunistic
investment_cost,1200.0
p_peak_increase,0.0
papr,2.3367
avg_soc_t_dep_percent,93.3052
avg_soc_to_max_deviation,6.694800000000001
soc_range,34.22113944638659
lowest_soc,65.77886055361341
num_cp,6.0
p_cp_rated,2.4
avg_num_charging_days,6.7
economic,1.0
technical,1.0
social,1.0
normalised_objective,1199.6559805917202
norm_economic,6.980024168920205
norm_technical,10.235046988492973
norm_social,6.495400022439333
total_objective_value,1199.6559805917202
economic_objective,347.47779294345315
technical_objective,277.96423040331956
social_objective,574.2139572449476
mip_gap,2.9158579480636657
