,Tariff type,Total optimal cost ($),Investment & maintenance cost ($),Total household load cost ($),Total EV charging cost ($),Grid import cost ($),Other costs ($),Average EV charging cost ($)
0,flat,31446.03326036203,10383.561643835616,19669.42216514016,1234.5950548367603,20904.017219976922,1.4185799828051122,24.691901096735204
1,tou,29806.550818034546,10383.561643835616,18898.20203522419,364.4799187834552,19262.681954007643,3.271403624630413,7.2895983756691045
